,year,period,expenses,income
0,2008,Q1,705390.0,307800.0
1,2008,Q2,640000.0,288300.0
2,2008,Q3,615000.0,382750.0
3,2008,Q4,440000.0,396350.0
4,2009,Q1,890000.0,506000.0
5,2009,Q2,530000.0,312685.0
6,2009,Q3,400000.0,237896.0
7,2009,Q4,500000.0,391000.0
8,2010,Q1,750000.0,270000.0
9,2010,Q2,530000.0,266000.0
10,2010,Q3,650000.0,284000.0
11,2010,Q4,720000.0,250000.0
12,2011,Q1,950000.0,240000.0
13,2011,Q2,840000.0,200000.0
14,2011,Q3,750000.0,210000.0
15,2011,Q4,1590000.0,210000.0
16,2012,Q1,1120000.0,320000.0
17,2012,Q2,810000.0,290000.0
18,2012,Q3,1210000.0,180000.0
19,2012,Q4,980000.0,220000.0
20,2013,Q1,1931590.0,380000.0
21,2013,Q2,1070000.0,410000.0
22,2013,Q3,2290000.0,500000.0
23,2013,Q4,1640000.0,467500.0
24,2014,Q1,2400000.0,527500.0
25,2014,Q2,2110000.0,692500.0
26,2014,Q3,2650000.0,787500.0
27,2014,Q4,2170000.0,817500.0
28,2015,Q1,2440000.0,900000.0
29,2015,Q2,3470000.0,480000.0
30,2015,Q3,2090000.0,420000.0
31,2015,Q4,1830000.0,360000.0
32,2016,Q1,3400000.0,430000.0
33,2016,Q2,2560000.0,370000.0
34,2016,Q3,2740000.0,440000.0
35,2016,Q4,1370000.0,380000.0
36,2017,Q1,3660000.0,410000.0
37,2017,Q2,1040000.0,420000.0
38,2017,Q3,2060000.0,430000.0
39,2017,Q4,1760000.0,380000.0
40,2018,Q1,4310000.0,440000.0
41,2018,Q2,1150000.0,465000.0
42,2018,Q3,1510000.0,440000.0
43,2018,Q4,2220000.0,420000.0
44,2019,Q1,3270000.0,520000.0
45,2019,Q2,1960000.0,530000.0
46,2019,Q3,2620000.0,510000.0
47,2019,Q4,1370000.0,480000.0
48,2020,Q1,4060000.0,470000.0
49,2020,Q2,670000.0,340000.0
50,2020,Q3,1430000.0,340000.0
51,2020,Q4,650000.0,340000.0
52,2021,Q1,3090000.0,310000.0
53,2021,Q2,680000.0,420000.0
54,2021,Q3,1940000.0,430000.0
55,2021,Q4,1290000.0,430000.0
56,2022,Q1,3980000.0,430000.0
57,2022,Q2,880000.0,430000.0
58,2022,Q3,2370000.0,430000.0
59,2022,Q4,970000.0,370000.0
60,2023,Q1,1500000.0,340000.0
61,2023,Q2,600000.0,390000.0
62,2023,Q3,750000.0,410000.0
63,2023,Q4,0.0,350000.0
