,year,period,expenses,income
0,2008,Q1,880000.0,310000.0
1,2008,Q2,1165000.0,400000.0
2,2008,Q3,1905000.0,400000.0
3,2008,Q4,1070000.0,290000.0
4,2009,Q1,1390000.0,340000.0
5,2009,Q2,820000.0,300000.0
6,2009,Q3,870000.0,320000.0
7,2009,Q4,2050000.0,320000.0
8,2010,Q1,1730000.0,364000.0
9,2010,Q2,800000.0,370000.0
10,2010,Q3,1180000.0,470000.0
11,2010,Q4,2200000.0,350000.0
12,2011,Q1,1792000.0,425000.0
13,2011,Q2,827000.0,455000.0
14,2011,Q3,1202000.0,430000.0
15,2011,Q4,1751000.0,470000.0
16,2012,Q1,1903000.0,500000.0
17,2012,Q2,2646000.0,450000.0
18,2012,Q3,2088000.0,450000.0
19,2012,Q4,1113000.0,520000.0
20,2013,Q1,815000.0,280000.0
21,2013,Q2,619000.0,290000.0
22,2013,Q3,885000.0,290000.0
23,2013,Q4,990000.0,280000.0
24,2014,Q1,825000.0,270000.0
25,2014,Q2,670000.0,280000.0
26,2014,Q3,1209000.0,280000.0
27,2014,Q4,1060000.0,200000.0
28,2015,Q1,770000.0,245000.0
29,2015,Q2,680000.0,305000.0
30,2015,Q3,1040000.0,305000.0
31,2015,Q4,1140000.0,305000.0
32,2016,Q1,820000.0,245000.0
33,2016,Q2,720000.0,245000.0
34,2016,Q3,1040000.0,255000.0
35,2016,Q4,1210000.0,295000.0
36,2017,Q1,1050000.0,355000.0
37,2017,Q2,1150000.0,350000.0
38,2017,Q3,920000.0,300000.0
39,2017,Q4,1700000.0,380000.0
40,2018,Q1,790000.0,350000.0
41,2018,Q2,770000.0,370000.0
42,2018,Q3,700000.0,410000.0
43,2018,Q4,1420000.0,445000.0
44,2019,Q1,930000.0,400000.0
45,2019,Q2,800000.0,410000.0
46,2019,Q3,1110000.0,410000.0
47,2019,Q4,1130000.0,420000.0
48,2020,Q1,800000.0,370000.0
49,2020,Q2,930000.0,350000.0
50,2020,Q3,930000.0,350000.0
51,2020,Q4,1090000.0,380000.0
52,2021,Q1,840000.0,440000.0
53,2021,Q2,1020000.0,430000.0
54,2021,Q3,1240000.0,440000.0
55,2021,Q4,1110000.0,450000.0
56,2022,Q1,940000.0,450000.0
57,2022,Q2,800000.0,450000.0
58,2022,Q3,940000.0,450000.0
59,2022,Q4,1220000.0,450000.0
60,2023,Q1,1040000.0,430000.0
61,2023,Q2,850000.0,420000.0
62,2023,Q3,1150000.0,420000.0
63,2023,Q4,0.0,330000.0
