,year,period,expenses,income
0,2008,Q1,2105242.86,200000.0
1,2008,Q2,2128604.0,180000.0
2,2008,Q3,964329.0,160000.0
3,2008,Q4,799870.04,160000.0
4,2009,Q1,641321.78,100000.0
5,2009,Q2,830775.0,100000.0
6,2009,Q3,753438.0,100000.0
7,2009,Q4,730000.0,100000.0
8,2010,Q1,790000.0,130000.0
9,2010,Q2,870000.0,160000.0
10,2010,Q3,770000.0,30000.0
11,2010,Q4,700000.0,100000.0
12,2011,Q1,740000.0,100000.0
13,2011,Q2,730000.0,100000.0
14,2011,Q3,660000.0,100000.0
15,2011,Q4,650000.0,100000.0
16,2012,Q1,810000.0,100000.0
17,2012,Q2,630000.0,100000.0
18,2012,Q3,640000.0,110000.0
19,2012,Q4,620000.0,60000.0
20,2013,Q1,730000.0,160000.0
21,2013,Q2,780000.0,160000.0
22,2013,Q3,690000.0,160000.0
23,2013,Q4,710000.0,160000.0
24,2014,Q1,840000.0,160000.0
25,2014,Q2,710000.0,160000.0
26,2014,Q3,760000.0,130000.0
27,2014,Q4,660000.0,185000.0
28,2015,Q1,730000.0,160000.0
29,2015,Q2,730000.0,240000.0
30,2015,Q3,800000.0,250000.0
31,2015,Q4,700000.0,250000.0
32,2016,Q1,650000.0,240000.0
33,2016,Q2,840000.0,250000.0
34,2016,Q3,680000.0,240000.0
35,2016,Q4,730000.0,215000.0
36,2017,Q1,830000.0,305000.0
37,2017,Q2,690000.0,255000.0
38,2017,Q3,750000.0,315000.0
39,2017,Q4,780000.0,384000.0
40,2018,Q1,1020000.0,344000.0
41,2018,Q2,830000.0,354000.0
42,2018,Q3,720000.0,334000.0
43,2018,Q4,860000.0,334000.0
44,2019,Q1,880000.0,320000.0
45,2019,Q2,740000.0,410000.0
46,2019,Q3,730000.0,400000.0
47,2019,Q4,740000.0,400000.0
48,2020,Q1,940000.0,390000.0
49,2020,Q2,770000.0,390000.0
50,2020,Q3,810000.0,400000.0
51,2020,Q4,730000.0,400000.0
52,2021,Q1,820000.0,400000.0
53,2021,Q2,890000.0,420000.0
54,2021,Q3,870000.0,460000.0
55,2021,Q4,760000.0,460000.0
56,2022,Q1,1120000.0,490000.0
57,2022,Q2,850000.0,520000.0
58,2022,Q3,840000.0,500000.0
59,2022,Q4,840000.0,420000.0
60,2023,Q1,760000.0,350000.0
61,2023,Q2,670000.0,310000.0
62,2023,Q3,565000.0,290000.0
63,2023,Q4,700000.0,270000.0
