,year,period,expenses,income
0,2008,Q1,950000.0,320000.0
1,2008,Q2,880000.0,410000.0
2,2008,Q3,910000.0,380000.0
3,2008,Q4,830000.0,430000.0
4,2009,Q1,980000.0,630000.0
5,2009,Q2,780000.0,810000.0
6,2009,Q3,1020000.0,670000.0
7,2009,Q4,1210000.0,620000.0
8,2010,Q1,1240000.0,630000.0
9,2010,Q2,1270000.0,900000.0
10,2010,Q3,1150000.0,500000.0
11,2010,Q4,1000000.0,470000.0
12,2011,Q1,1020000.0,430000.0
13,2011,Q2,940000.0,578000.0
14,2011,Q3,810000.0,458000.0
15,2011,Q4,1120000.0,598000.0
16,2012,Q1,1140000.0,568000.0
17,2012,Q2,910000.0,418000.0
18,2012,Q3,1220000.0,668000.0
19,2012,Q4,1610000.0,368000.0
20,2013,Q1,1360000.0,364000.0
21,2013,Q2,1250000.0,547500.0
22,2013,Q3,1150000.0,458000.0
23,2013,Q4,0.0,180000.0
24,2014,Q1,1080000.0,200000.0
25,2014,Q2,980000.0,180000.0
26,2014,Q3,960000.0,150000.0
27,2014,Q4,960000.0,140000.0
28,2015,Q1,940000.0,170000.0
29,2015,Q2,940000.0,180000.0
30,2015,Q3,1270000.0,220000.0
31,2015,Q4,1120000.0,220000.0
32,2016,Q1,890000.0,260000.0
33,2016,Q2,800000.0,260000.0
34,2016,Q3,910000.0,280000.0
35,2016,Q4,1140000.0,290000.0
36,2017,Q1,1050000.0,425000.0
37,2017,Q2,950000.0,425000.0
38,2017,Q3,880000.0,435000.0
39,2017,Q4,1090000.0,525000.0
40,2018,Q1,1010000.0,465000.0
41,2018,Q2,1080000.0,435000.0
42,2018,Q3,1350000.0,545000.0
43,2018,Q4,820000.0,595000.0
44,2019,Q1,1210000.0,455000.0
45,2019,Q2,1370000.0,675000.0
46,2019,Q3,1100000.0,545000.0
47,2019,Q4,1300000.0,445000.0
48,2020,Q1,2060000.0,515000.0
49,2020,Q2,1930000.0,480000.0
50,2020,Q3,1540000.0,310000.0
51,2020,Q4,1260000.0,275000.0
52,2021,Q1,2160000.0,275000.0
53,2021,Q2,1140000.0,275000.0
54,2021,Q3,1110000.0,335000.0
55,2021,Q4,1530000.0,385000.0
56,2022,Q1,2440000.0,225000.0
57,2022,Q2,1080000.0,245000.0
58,2022,Q3,1220000.0,245000.0
59,2022,Q4,1370000.0,225000.0
60,2023,Q1,2160000.0,192500.0
61,2023,Q2,1190000.0,202500.0
62,2023,Q3,1780000.0,182500.0
63,2023,Q4,1470000.0,70000.0
