,year,period,expenses,income
0,2009,Q1,10000.0,0.0
1,2009,Q2,10000.0,0.0
2,2009,Q3,10000.0,10000.0
3,2009,Q4,10000.0,30000.0
4,2010,Q1,0.0,30000.0
5,2010,Q2,0.0,30000.0
6,2010,Q3,0.0,30000.0
7,2010,Q4,0.0,30000.0
8,2011,Q1,0.0,30000.0
9,2011,Q2,0.0,30000.0
10,2011,Q3,0.0,30000.0
11,2013,Q1,10000.0,0.0
12,2015,Q1,10000.0,0.0
13,2015,Q2,10000.0,0.0
14,2015,Q3,10000.0,0.0
15,2015,Q4,10000.0,0.0
16,2017,Q2,74021.0,0.0
17,2017,Q3,10000.0,0.0
18,2017,Q4,10000.0,0.0
19,2018,Q1,20000.0,0.0
20,2018,Q2,20000.0,0.0
21,2018,Q3,20000.0,0.0
22,2018,Q4,10000.0,0.0
23,2019,Q1,10000.0,0.0
24,2019,Q2,175613.0,0.0
25,2019,Q3,20000.0,0.0
26,2019,Q4,20000.0,0.0
27,2020,Q1,20000.0,0.0
28,2020,Q2,20000.0,0.0
29,2020,Q3,20000.0,0.0
30,2020,Q4,15000.0,0.0
31,2021,Q1,25000.0,0.0
32,2021,Q2,25000.0,0.0
33,2021,Q3,25000.0,0.0
34,2021,Q4,25000.0,0.0
35,2022,Q1,25000.0,0.0
36,2022,Q2,25000.0,0.0
37,2022,Q3,25000.0,0.0
38,2022,Q4,25000.0,0.0
39,2023,Q2,320000.0,0.0
40,2023,Q3,430000.0,0.0
41,2023,Q4,430000.0,0.0
