,year,period,expenses,income
0,2008,Q1,110000.0,0.0
1,2008,Q2,130000.0,0.0
2,2008,Q3,110000.0,0.0
3,2008,Q4,110000.0,0.0
4,2009,Q1,130000.0,0.0
5,2009,Q2,150000.0,0.0
6,2009,Q3,140000.0,0.0
7,2009,Q4,100000.0,0.0
8,2010,Q1,110000.0,0.0
9,2010,Q2,110000.0,0.0
10,2010,Q3,100000.0,0.0
11,2010,Q4,100000.0,0.0
12,2011,Q1,140000.0,0.0
13,2011,Q2,120000.0,0.0
14,2011,Q3,110000.0,0.0
15,2011,Q4,160000.0,0.0
16,2012,Q1,140000.0,0.0
17,2012,Q2,150000.0,0.0
18,2012,Q3,160000.0,0.0
19,2012,Q4,170000.0,0.0
20,2013,Q1,140474.0,0.0
21,2013,Q2,170000.0,0.0
22,2013,Q3,180000.0,0.0
23,2013,Q4,230000.0,0.0
24,2014,Q1,200000.0,0.0
25,2014,Q2,200000.0,0.0
26,2014,Q3,200000.0,0.0
27,2014,Q4,260000.0,0.0
28,2015,Q1,270000.0,0.0
29,2015,Q2,230000.0,0.0
30,2015,Q3,210000.0,0.0
31,2015,Q4,200000.0,0.0
32,2016,Q1,340000.0,0.0
33,2016,Q2,310000.0,0.0
34,2016,Q3,270000.0,24000.0
35,2016,Q4,260000.0,36000.0
36,2017,Q1,310000.0,36000.0
37,2017,Q2,310000.0,36000.0
38,2017,Q3,380000.0,36000.0
39,2017,Q4,350000.0,36000.0
40,2018,Q1,370000.0,36000.0
41,2018,Q2,340000.0,36000.0
42,2018,Q3,340000.0,56000.0
43,2018,Q4,290000.0,46000.0
44,2019,Q1,250000.0,40000.0
45,2019,Q2,260000.0,40000.0
46,2019,Q3,260000.0,40000.0
47,2019,Q4,270000.0,40000.0
48,2020,Q1,390000.0,40000.0
49,2020,Q2,330000.0,35000.0
50,2020,Q3,230000.0,32500.0
51,2020,Q4,240000.0,32500.0
52,2021,Q1,240000.0,34000.0
53,2021,Q2,250000.0,44000.0
54,2021,Q3,260000.0,44000.0
55,2021,Q4,240000.0,44000.0
56,2022,Q1,280000.0,44000.0
57,2022,Q2,280000.0,44000.0
58,2022,Q3,290000.0,44000.0
59,2022,Q4,280000.0,44000.0
60,2023,Q1,320000.0,44000.0
61,2023,Q2,350000.0,54000.0
62,2023,Q3,410000.0,54000.0
63,2023,Q4,0.0,24000.0
