,year,period,expenses,income
0,2008,Q1,2520000.0,1435000.0
1,2008,Q2,2850000.0,1405000.0
2,2008,Q3,2370000.0,1285000.0
3,2008,Q4,2410000.0,1195000.0
4,2009,Q1,2750000.0,1100000.0
5,2009,Q2,3400000.0,1270000.0
6,2009,Q3,3000000.0,1435000.0
7,2009,Q4,3290000.0,1415000.0
8,2010,Q1,3070000.0,1195000.0
9,2010,Q2,1920000.0,1110000.0
10,2010,Q3,2940000.0,870000.0
11,2010,Q4,2330000.0,1000000.0
12,2011,Q1,2200000.0,950000.0
13,2011,Q2,2290000.0,1070000.0
14,2011,Q3,2820000.0,1045000.0
15,2011,Q4,2690000.0,1155000.0
16,2012,Q1,2570000.0,1025000.0
17,2012,Q2,1980000.0,1117500.0
18,2012,Q3,2510000.0,937500.0
19,2012,Q4,2250000.0,837500.0
20,2013,Q1,2290000.0,747500.0
21,2013,Q2,1980000.0,752500.0
22,2013,Q3,2520000.0,777500.0
23,2013,Q4,2330000.0,772500.0
24,2014,Q1,2560000.0,742500.0
25,2014,Q2,1950000.0,682500.0
26,2014,Q3,0.0,2762500.0
27,2014,Q4,1970000.0,650000.0
28,2015,Q1,2975000.0,705000.0
29,2015,Q2,1970000.0,700000.0
30,2015,Q3,2910000.0,680000.0
31,2015,Q4,2670000.0,715493.0
32,2016,Q1,1750000.0,700000.0
33,2016,Q2,2910000.0,700000.0
34,2016,Q3,2920000.0,710000.0
35,2016,Q4,2280000.0,602500.0
36,2017,Q1,3020000.0,662500.0
37,2017,Q2,3600000.0,672500.0
38,2017,Q3,2000000.0,675000.0
39,2017,Q4,2000000.0,705000.0
40,2018,Q1,3310000.0,675000.0
41,2018,Q2,2290000.0,705000.0
42,2018,Q3,2660000.0,735000.0
43,2018,Q4,2700000.0,650000.0
44,2019,Q1,3250000.0,650000.0
45,2019,Q2,2200000.0,650000.0
46,2019,Q3,3090000.0,650000.0
47,2019,Q4,2400000.0,620000.0
48,2020,Q1,2700000.0,650000.0
49,2020,Q2,2970000.0,650000.0
50,2020,Q3,2920000.0,650000.0
51,2020,Q4,2560000.0,610000.0
52,2021,Q1,2810000.0,700000.0
53,2021,Q2,1910000.0,590000.0
54,2021,Q3,2620000.0,600000.0
55,2021,Q4,2410000.0,520000.0
56,2022,Q1,2780000.0,522500.0
57,2022,Q2,2070000.0,522500.0
58,2022,Q3,3150000.0,522500.0
59,2022,Q4,2140000.0,572500.0
60,2023,Q1,2800000.0,502500.0
61,2023,Q2,1950000.0,512500.0
62,2023,Q3,2240000.0,562500.0
63,2023,Q4,3550000.0,340000.0
