,year,period,expenses,income
0,2014,Q4,0,40000
1,2015,Q1,0,50000
2,2015,Q2,0,60000
3,2015,Q3,0,60000
4,2015,Q4,0,60000
5,2016,Q1,0,60000
6,2016,Q2,0,60000
7,2016,Q3,0,60000
8,2016,Q4,0,60000
9,2017,Q1,0,60000
10,2017,Q2,0,60000
11,2017,Q3,0,60000
12,2017,Q4,0,60000
13,2018,Q1,0,60000
14,2018,Q2,0,60000
15,2018,Q3,0,60000
16,2018,Q4,0,60000
17,2019,Q1,0,120000
18,2019,Q2,0,120000
19,2019,Q3,0,120000
20,2019,Q4,0,120000
21,2020,Q1,0,120000
22,2020,Q2,0,120000
23,2020,Q3,0,120000
24,2020,Q4,0,120000
25,2021,Q1,0,120000
26,2021,Q2,0,130000
27,2021,Q3,0,150000
28,2021,Q4,0,170000
29,2022,Q1,0,150000
30,2022,Q2,0,150000
31,2022,Q3,0,150000
32,2022,Q4,0,150000
33,2023,Q1,0,150000
34,2023,Q2,0,150000
35,2023,Q3,0,150000
36,2023,Q4,0,30000
