,year,period,expenses,income
0,2018,Q4,0.0,10000.0
1,2019,Q1,0.0,30000.0
2,2019,Q2,0.0,30000.0
3,2019,Q3,0.0,30000.0
4,2019,Q4,0.0,30000.0
5,2020,Q1,0.0,30000.0
6,2020,Q2,0.0,30000.0
7,2020,Q3,0.0,30000.0
8,2020,Q4,170000.0,60000.0
9,2021,Q1,190000.0,60000.0
10,2021,Q2,220000.0,80000.0
11,2021,Q3,240000.0,80000.0
12,2021,Q4,260000.0,80000.0
13,2022,Q1,0.0,80000.0
14,2022,Q2,0.0,60000.0
15,2022,Q3,0.0,80000.0
16,2022,Q4,0.0,80000.0
17,2023,Q1,240000.0,140000.0
18,2023,Q2,310000.0,150000.0
19,2023,Q3,460000.0,240000.0
20,2023,Q4,500000.0,40000.0
