,year,period,expenses,income
0,2013,Q1,0,20000
1,2013,Q2,0,50000
2,2013,Q3,0,50000
3,2013,Q4,0,50000
4,2014,Q1,0,50000
5,2014,Q2,0,50000
6,2014,Q3,0,50000
7,2014,Q4,0,50000
8,2015,Q1,0,50000
9,2015,Q2,0,50000
10,2015,Q3,0,50000
11,2015,Q4,0,50000
12,2016,Q1,0,50000
13,2016,Q2,0,50000
14,2016,Q3,0,50000
15,2016,Q4,0,50000
16,2017,Q1,0,60000
17,2017,Q2,0,60000
18,2017,Q3,0,60000
19,2017,Q4,0,60000
20,2018,Q1,0,60000
21,2018,Q2,0,60000
22,2018,Q3,0,60000
23,2018,Q4,0,60000
24,2019,Q1,0,60000
25,2019,Q2,0,60000
26,2019,Q3,0,60000
27,2019,Q4,0,60000
28,2020,Q1,0,60000
29,2020,Q2,0,60000
30,2020,Q3,0,60000
31,2020,Q4,0,60000
32,2021,Q1,0,60000
33,2021,Q2,0,60000
34,2021,Q3,0,60000
35,2021,Q4,0,60000
36,2022,Q1,0,60000
37,2022,Q2,0,60000
38,2022,Q3,0,60000
39,2022,Q4,0,60000
40,2023,Q1,0,60000
41,2023,Q2,0,60000
42,2023,Q3,0,60000
