,year,period,expenses,income
0,2008,Q1,2830000.0,1211500.0
1,2008,Q2,3210000.0,1232500.0
2,2008,Q3,5790000.0,1132500.0
3,2008,Q4,4850000.0,900000.0
4,2009,Q1,2410000.0,1055000.0
5,2009,Q2,2570000.0,815000.0
6,2009,Q3,3710000.0,795000.0
7,2009,Q4,6130000.0,790000.0
8,2010,Q1,4060000.0,975000.0
9,2010,Q2,4970000.0,971000.0
10,2010,Q3,4150000.0,979000.0
11,2010,Q4,4716000.0,700000.0
12,2011,Q1,4050000.0,665000.0
13,2011,Q2,4410000.0,670000.0
14,2011,Q3,3820000.0,600000.0
15,2011,Q4,3630000.0,780000.0
16,2012,Q1,4100000.0,705000.0
17,2012,Q2,3990000.0,735000.0
18,2012,Q3,3770000.0,725000.0
19,2012,Q4,3580000.0,735000.0
20,2013,Q1,3580000.0,675000.0
21,2013,Q2,3940000.0,650000.0
22,2013,Q3,3790000.0,597500.0
23,2013,Q4,3720000.0,575000.0
24,2014,Q1,3760000.0,555000.0
25,2014,Q2,4180000.0,625000.0
26,2014,Q3,4390000.0,685000.0
27,2014,Q4,4320000.0,665000.0
28,2015,Q1,3880000.0,695000.0
29,2015,Q2,9288000.0,725000.0
30,2015,Q3,3527000.0,735000.0
31,2015,Q4,4956000.0,685000.0
32,2016,Q1,4480000.0,645000.0
33,2016,Q2,4750000.0,555000.0
34,2016,Q3,3640000.0,565000.0
35,2016,Q4,4150000.0,560000.0
36,2017,Q1,3980000.0,625000.0
37,2017,Q2,4770000.0,685000.0
38,2017,Q3,3770000.0,685000.0
39,2017,Q4,4210000.0,635000.0
40,2018,Q1,3680000.0,635000.0
41,2018,Q2,3860000.0,685000.0
42,2018,Q3,3730000.0,650000.0
43,2018,Q4,3850000.0,680000.0
44,2019,Q1,3330000.0,850000.0
45,2019,Q2,3930000.0,840000.0
46,2019,Q3,3150000.0,800000.0
47,2019,Q4,3400000.0,840000.0
48,2020,Q1,3080000.0,824000.0
49,2020,Q2,3180000.0,772000.0
50,2020,Q3,3030000.0,812000.0
51,2020,Q4,3340000.0,892000.0
52,2021,Q1,2780000.0,790000.0
53,2021,Q2,3390000.0,770000.0
54,2021,Q3,3770000.0,710000.0
55,2021,Q4,3420000.0,660000.0
56,2022,Q1,2680000.0,750000.0
57,2022,Q2,3230000.0,780000.0
58,2022,Q3,3190000.0,710000.0
59,2022,Q4,3950000.0,680000.0
60,2023,Q1,3840000.0,650000.0
61,2023,Q2,3560000.0,650000.0
62,2023,Q3,3240000.0,650000.0
63,2023,Q4,0.0,130000.0
