,year,period,expenses,income
0,2012,Q1,0.0,40000.0
1,2012,Q3,0.0,11000.0
2,2012,Q4,0.0,10000.0
3,2013,Q1,0.0,10000.0
4,2013,Q3,0.0,10000.0
5,2013,Q4,0.0,10000.0
6,2014,Q2,0.0,20000.0
7,2014,Q3,0.0,20000.0
8,2014,Q4,0.0,10000.0
9,2015,Q4,0.0,110000.0
10,2016,Q1,130000.0,100000.0
11,2016,Q2,230000.0,120000.0
12,2016,Q3,280000.0,160000.0
13,2016,Q4,380000.0,200000.0
14,2017,Q1,390000.0,150000.0
15,2017,Q2,440000.0,160000.0
16,2017,Q3,530000.0,160000.0
17,2017,Q4,650000.0,190000.0
18,2018,Q1,660000.0,170000.0
19,2018,Q2,730000.0,180000.0
20,2018,Q3,740000.0,180000.0
21,2018,Q4,610000.0,190000.0
22,2019,Q1,610000.0,180000.0
23,2019,Q2,600000.0,160000.0
24,2019,Q3,680000.0,200000.0
25,2019,Q4,730000.0,210000.0
26,2020,Q1,730000.0,200000.0
27,2020,Q2,690000.0,200000.0
28,2020,Q3,740000.0,260000.0
29,2020,Q4,940000.0,250000.0
30,2021,Q1,770000.0,190000.0
31,2021,Q2,750000.0,130000.0
32,2021,Q3,820000.0,229325.0
33,2021,Q4,750000.0,267000.0
34,2022,Q1,660000.0,300000.0
35,2022,Q2,650000.0,300000.0
36,2022,Q3,590000.0,320000.0
37,2022,Q4,630000.0,320000.0
38,2023,Q1,550000.0,320000.0
39,2023,Q2,750000.0,330000.0
40,2023,Q3,710000.0,320000.0
41,2023,Q4,0.0,240000.0
