,year,period,expenses,income
0,2014,Q4,0,20000
1,2015,Q1,0,60000
2,2015,Q2,0,50000
3,2015,Q3,0,50000
4,2015,Q4,0,50000
5,2016,Q1,0,50000
6,2016,Q2,0,50000
7,2016,Q3,0,50000
8,2016,Q4,0,50000
9,2017,Q1,0,40000
10,2017,Q2,0,40000
11,2017,Q3,0,40000
12,2017,Q4,0,40000
13,2018,Q1,0,40000
14,2018,Q2,0,40000
15,2018,Q3,0,40000
16,2019,Q1,0,50000
17,2019,Q2,0,70000
18,2019,Q3,0,54000
19,2019,Q4,0,54000
20,2020,Q1,0,134000
21,2020,Q2,0,234000
22,2020,Q3,0,254000
23,2020,Q4,0,254000
24,2021,Q1,0,204000
25,2021,Q2,0,204000
26,2021,Q3,0,204000
27,2021,Q4,0,204000
28,2022,Q1,0,204000
29,2022,Q2,0,204000
30,2022,Q3,0,204000
31,2022,Q4,0,154000
32,2023,Q1,0,154000
33,2023,Q2,0,150000
34,2023,Q3,0,150000
35,2023,Q4,0,50000
