,year,period,expenses,income
0,2008,Q1,840000.0,295000.0
1,2008,Q2,830000.0,240000.0
2,2008,Q3,840000.0,230000.0
3,2008,Q4,1025520.0,210000.0
4,2009,Q1,814676.0,160000.0
5,2009,Q2,809000.0,170000.0
6,2009,Q3,952580.0,167000.0
7,2009,Q4,853020.0,257000.0
8,2010,Q1,1060000.0,265000.0
9,2010,Q2,980000.0,195000.0
10,2010,Q3,795000.0,180000.0
11,2010,Q4,773000.0,236000.0
12,2011,Q1,1030000.0,236500.0
13,2011,Q2,560000.0,213500.0
14,2011,Q3,660000.0,164500.0
15,2011,Q4,870000.0,167000.0
16,2012,Q1,1680000.0,162500.0
17,2012,Q2,660000.0,162500.0
18,2012,Q3,520000.0,168500.0
19,2012,Q4,1280000.0,140000.0
20,2013,Q1,830000.0,140000.0
21,2013,Q2,724000.0,140000.0
22,2013,Q3,542000.0,60000.0
23,2013,Q4,740000.0,60000.0
24,2014,Q1,520000.0,60000.0
25,2014,Q2,775000.0,60000.0
26,2014,Q3,680000.0,60000.0
27,2014,Q4,0.0,830000.0
28,2015,Q1,610000.0,60000.0
29,2015,Q2,670000.0,60000.0
30,2015,Q3,850000.0,60000.0
31,2015,Q4,780000.0,60000.0
32,2016,Q1,690000.0,60000.0
33,2016,Q2,780000.0,60000.0
34,2016,Q3,810000.0,110000.0
35,2016,Q4,560000.0,110000.0
36,2017,Q1,990000.0,110000.0
37,2017,Q2,860000.0,110000.0
38,2017,Q3,900000.0,110000.0
39,2017,Q4,860000.0,110000.0
40,2018,Q1,800000.0,110000.0
41,2018,Q2,1130000.0,60000.0
42,2018,Q3,960000.0,60000.0
43,2018,Q4,940000.0,60000.0
44,2019,Q1,1200000.0,60000.0
45,2019,Q2,970000.0,60000.0
46,2019,Q3,1240000.0,60000.0
47,2019,Q4,690000.0,60000.0
48,2020,Q1,540000.0,60000.0
49,2020,Q2,2160000.0,60000.0
50,2020,Q3,1600000.0,60000.0
51,2020,Q4,1090000.0,60000.0
52,2021,Q1,730000.0,60000.0
53,2021,Q2,2230000.0,60000.0
54,2021,Q3,1740000.0,60000.0
55,2021,Q4,710000.0,0.0
56,2022,Q1,2300000.0,0.0
57,2022,Q2,1590000.0,20000.0
58,2022,Q3,870000.0,30000.0
59,2022,Q4,640000.0,10000.0
60,2023,Q1,2410000.0,10000.0
61,2023,Q2,2230000.0,0.0
62,2023,Q3,2180000.0,0.0
