,year,period,expenses,income
0,2008,Q2,0.0,15000.0
1,2008,Q3,0.0,15000.0
2,2008,Q4,0.0,15000.0
3,2009,Q1,0.0,15000.0
4,2009,Q2,0.0,10000.0
5,2009,Q3,0.0,15000.0
6,2009,Q4,0.0,15000.0
7,2010,Q1,0.0,15000.0
8,2010,Q2,0.0,15000.0
9,2010,Q3,0.0,15000.0
10,2020,Q2,302739.0,0.0
11,2020,Q3,213729.0,0.0
12,2020,Q4,357494.0,0.0
13,2021,Q1,539480.0,0.0
14,2021,Q2,359835.0,0.0
15,2021,Q3,331139.0,0.0
16,2021,Q4,426459.0,0.0
17,2022,Q1,793350.0,0.0
18,2022,Q2,651903.0,0.0
19,2022,Q3,747091.0,0.0
20,2022,Q4,865333.0,0.0
21,2023,Q1,440574.0,0.0
22,2023,Q2,805076.0,0.0
23,2023,Q3,637929.0,0.0
24,2023,Q4,800374.0,0.0
