,year,period,expenses,income
0,2008,Q1,498202.0,136000.0
1,2008,Q2,570000.0,140000.0
2,2008,Q3,480000.0,140000.0
3,2008,Q4,740000.0,140000.0
4,2009,Q1,409410.0,120000.0
5,2009,Q2,770000.0,120000.0
6,2009,Q3,570000.0,120000.0
7,2009,Q4,853250.0,120000.0
8,2010,Q1,480000.0,120000.0
9,2010,Q2,550000.0,120000.0
10,2010,Q3,450000.0,120000.0
11,2010,Q4,630000.0,120000.0
12,2011,Q1,1060000.0,120000.0
13,2011,Q2,610000.0,120000.0
14,2011,Q3,480000.0,120000.0
15,2011,Q4,630000.0,120000.0
16,2012,Q1,1730000.0,120000.0
17,2012,Q2,920000.0,120000.0
18,2012,Q3,510000.0,120000.0
19,2012,Q4,1730000.0,120000.0
20,2013,Q1,2680000.0,80000.0
21,2013,Q2,1350000.0,110000.0
22,2013,Q3,610000.0,220000.0
23,2013,Q4,960000.0,270000.0
24,2014,Q1,1770000.0,390000.0
25,2014,Q2,1320000.0,380000.0
26,2014,Q3,1320000.0,380000.0
27,2014,Q4,1640000.0,390000.0
28,2015,Q1,2330000.0,390000.0
29,2015,Q2,1420000.0,380000.0
30,2015,Q3,1060000.0,390000.0
31,2015,Q4,970000.0,380000.0
32,2016,Q1,1330000.0,280000.0
33,2016,Q2,1080000.0,320000.0
34,2016,Q3,760000.0,300000.0
35,2016,Q4,800000.0,290000.0
36,2017,Q1,1260000.0,310000.0
37,2017,Q2,750000.0,300000.0
38,2017,Q3,620000.0,310000.0
39,2017,Q4,630000.0,300000.0
40,2018,Q1,1100000.0,150000.0
41,2018,Q2,600000.0,150000.0
42,2018,Q3,450000.0,150000.0
43,2018,Q4,440000.0,150000.0
44,2019,Q1,550000.0,150000.0
45,2019,Q2,1410000.0,140000.0
46,2019,Q3,640000.0,150000.0
47,2019,Q4,630000.0,150000.0
48,2020,Q1,1650000.0,150000.0
49,2020,Q2,550000.0,110000.0
50,2020,Q3,470000.0,60000.0
51,2020,Q4,450000.0,150000.0
52,2021,Q1,1330000.0,100000.0
53,2021,Q2,670000.0,100000.0
54,2021,Q3,580000.0,150000.0
55,2021,Q4,720000.0,240000.0
56,2022,Q1,980000.0,100000.0
57,2022,Q2,1070000.0,100000.0
58,2022,Q3,610000.0,150000.0
59,2022,Q4,828000.0,140000.0
60,2023,Q1,1230000.0,0.0
61,2023,Q2,930000.0,0.0
62,2023,Q3,790000.0,150000.0
