,year,period,expenses,income
0,2008,Q1,150000.0,0.0
1,2008,Q2,150000.0,0.0
2,2008,Q3,170000.0,0.0
3,2008,Q4,160000.0,0.0
4,2009,Q1,380000.0,0.0
5,2009,Q2,410000.0,0.0
6,2009,Q3,420000.0,0.0
7,2009,Q4,790000.0,0.0
8,2010,Q1,380000.0,0.0
9,2010,Q2,362000.0,0.0
10,2010,Q3,393000.0,0.0
11,2010,Q4,440000.0,30000.0
12,2011,Q1,470000.0,50000.0
13,2011,Q2,500000.0,50000.0
14,2011,Q3,480000.0,50000.0
15,2011,Q4,560000.0,50000.0
16,2012,Q1,450000.0,40000.0
17,2012,Q2,490000.0,30000.0
18,2012,Q3,450000.0,60000.0
19,2012,Q4,0.0,60000.0
20,2013,Q1,650000.0,63000.0
21,2013,Q2,2590000.0,63000.0
22,2013,Q3,0.0,33000.0
23,2013,Q4,750000.0,63000.0
24,2014,Q1,720000.0,163000.0
25,2014,Q2,620000.0,160000.0
26,2014,Q3,640000.0,150000.0
27,2014,Q4,730000.0,100000.0
28,2015,Q1,1140000.0,150000.0
29,2015,Q2,1060000.0,210000.0
30,2015,Q3,980000.0,350000.0
31,2015,Q4,1160000.0,380000.0
32,2016,Q1,1150000.0,370000.0
33,2016,Q2,1630000.0,330000.0
34,2016,Q3,1990000.0,290000.0
35,2016,Q4,2100000.0,250000.0
36,2017,Q1,2020000.0,395000.0
37,2017,Q2,2430000.0,397500.0
38,2017,Q3,1880000.0,367500.0
39,2017,Q4,2550000.0,367500.0
40,2018,Q1,2340000.0,367500.0
41,2018,Q2,2390000.0,367500.0
42,2018,Q3,2270000.0,367500.0
43,2018,Q4,2390000.0,347500.0
44,2019,Q1,2370000.0,380000.0
45,2019,Q2,2440000.0,395000.0
46,2019,Q3,2230000.0,445000.0
47,2019,Q4,2840000.0,505000.0
48,2020,Q1,2960000.0,535000.0
49,2020,Q2,2590000.0,535000.0
50,2020,Q3,2400000.0,565000.0
51,2020,Q4,3060000.0,585000.0
52,2021,Q1,2610000.0,635000.0
53,2021,Q2,2570000.0,660000.0
54,2021,Q3,2600000.0,670000.0
55,2021,Q4,2990000.0,760000.0
56,2022,Q1,2840000.0,780000.0
57,2022,Q2,2940000.0,880000.0
58,2022,Q3,2830000.0,820000.0
59,2022,Q4,2810000.0,820000.0
60,2023,Q1,2580000.0,820000.0
61,2023,Q2,2480000.0,820000.0
62,2023,Q3,2690000.0,840000.0
63,2023,Q4,0.0,430000.0
