,year,period,expenses,income
0,2008,Q1,1060000.0,400750.0
1,2008,Q2,718492.0,515750.0
2,2008,Q3,674097.0,400750.0
3,2008,Q4,1210000.0,475750.0
4,2009,Q1,990250000.0,570750.0
5,2009,Q2,1107000.0,480750.0
6,2009,Q3,1190000.0,570750.0
7,2009,Q4,1300000.0,550750.0
8,2010,Q1,1340000.0,530750.0
9,2010,Q2,1010000.0,480750.0
10,2010,Q3,1390000.0,480750.0
11,2010,Q4,910000.0,390750.0
12,2011,Q1,1570000.0,485750.0
13,2011,Q2,940000.0,495750.0
14,2011,Q3,1295000.0,515750.0
15,2011,Q4,1130000.0,465750.0
16,2012,Q1,370000.0,485750.0
17,2012,Q2,470000.0,290750.0
18,2012,Q3,423291.59,270750.0
19,2012,Q4,630727.93,280750.0
20,2013,Q1,445817.19,170750.0
21,2013,Q2,553000.0,180750.0
22,2013,Q3,670000.0,180750.0
23,2013,Q4,635000.0,180750.0
24,2014,Q1,650000.0,180750.0
25,2014,Q2,550000.0,180750.0
26,2014,Q3,500000.0,180750.0
27,2014,Q4,510000.0,180750.0
28,2015,Q1,520000.0,190750.0
29,2015,Q2,560000.0,190750.0
30,2015,Q3,520000.0,400750.0
31,2015,Q4,560000.0,400750.0
32,2016,Q1,670000.0,450750.0
33,2016,Q2,693000.0,450750.0
34,2016,Q3,690000.0,450750.0
35,2016,Q4,650000.0,450750.0
36,2017,Q1,645000.0,450750.0
37,2017,Q2,680000.0,570750.0
38,2017,Q3,685000.0,590750.0
39,2017,Q4,830000.0,530750.0
40,2018,Q1,820000.0,530750.0
41,2018,Q2,815000.0,530750.0
42,2018,Q3,760000.0,540750.0
43,2018,Q4,840000.0,540750.0
44,2019,Q1,0.0,490000.0
45,2019,Q2,0.0,370000.0
46,2019,Q3,0.0,370000.0
47,2019,Q4,0.0,370000.0
48,2020,Q1,0.0,370000.0
49,2020,Q2,0.0,370000.0
50,2020,Q3,0.0,370000.0
51,2020,Q4,0.0,395000.0
52,2021,Q1,0.0,315000.0
53,2021,Q2,0.0,240000.0
54,2021,Q3,0.0,240000.0
55,2021,Q4,0.0,240000.0
56,2022,Q1,0.0,240000.0
57,2022,Q2,0.0,240000.0
58,2022,Q3,0.0,240000.0
59,2022,Q4,0.0,240000.0
60,2023,Q1,0.0,290000.0
61,2023,Q2,0.0,230000.0
62,2023,Q3,0.0,230000.0
63,2023,Q4,0.0,180000.0
