,year,period,expenses,income
0,2008,Q1,2660000.0,983000.0
1,2008,Q2,2830000.0,793000.0
2,2008,Q3,3200000.0,854000.0
3,2008,Q4,3810000.0,813000.0
4,2009,Q1,2760000.0,1003000.0
5,2009,Q2,3290000.0,1188000.0
6,2009,Q3,3060000.0,1028000.0
7,2009,Q4,3480000.0,994800.0
8,2010,Q1,3077000.0,1058000.0
9,2010,Q2,3850000.0,1118000.0
10,2010,Q3,1860000.0,1168000.0
11,2010,Q4,4180000.0,1148000.0
12,2011,Q1,5710000.0,1218000.0
13,2011,Q2,4880000.0,1288000.0
14,2011,Q3,3990000.0,1238000.0
15,2011,Q4,4520000.0,1313000.0
16,2012,Q1,4550000.0,1143000.0
17,2012,Q2,3990000.0,1063000.0
18,2012,Q3,3810000.0,993000.0
19,2012,Q4,2330000.0,973000.0
20,2013,Q1,4480000.0,918000.0
21,2013,Q2,5470000.0,818000.0
22,2013,Q3,3980000.0,868000.0
23,2013,Q4,4780000.0,868000.0
24,2014,Q1,3090000.0,938000.0
25,2014,Q2,4450000.0,968000.0
26,2014,Q3,4230000.0,955000.0
27,2014,Q4,5030000.0,835000.0
28,2015,Q1,4620000.0,865000.0
29,2015,Q2,3800000.0,805000.0
30,2015,Q3,3270000.0,725000.0
31,2015,Q4,3940000.0,630000.0
32,2016,Q1,3720000.0,680000.0
33,2016,Q2,3380000.0,620000.0
34,2016,Q3,3410000.0,630000.0
35,2016,Q4,3820000.0,630000.0
36,2017,Q1,3720000.0,630000.0
37,2017,Q2,3760000.0,650000.0
38,2017,Q3,3510000.0,775000.0
39,2017,Q4,4320000.0,785000.0
40,2018,Q1,4242000.0,665000.0
41,2018,Q2,3540000.0,665000.0
42,2018,Q3,3430000.0,665000.0
43,2018,Q4,3860000.0,625000.0
44,2019,Q1,3500000.0,582500.0
45,2019,Q2,3180000.0,607500.0
46,2019,Q3,3030000.0,587500.0
47,2019,Q4,3650000.0,612500.0
48,2020,Q1,3750000.0,637500.0
49,2020,Q2,3650000.0,587500.0
50,2020,Q3,2960000.0,537500.0
51,2020,Q4,3920000.0,537500.0
52,2021,Q1,3410000.0,543000.0
53,2021,Q2,3250000.0,563000.0
54,2021,Q3,3110000.0,543000.0
55,2021,Q4,3490000.0,533000.0
56,2022,Q1,3350000.0,605000.0
57,2022,Q2,3940000.0,598000.0
58,2022,Q3,3390000.0,558000.0
59,2022,Q4,3610000.0,570500.0
60,2023,Q1,3240000.0,492750.0
61,2023,Q2,3580000.0,508750.0
62,2023,Q3,1890000.0,528750.0
63,2023,Q4,0.0,276250.0
