,year,period,expenses,income
0,2008,Q1,570000.0,310000.0
1,2008,Q2,600000.0,310000.0
2,2008,Q3,750000.0,228475.0
3,2008,Q4,715200.0,320000.0
4,2009,Q1,600000.0,220000.0
5,2009,Q2,610000.0,300000.0
6,2009,Q3,560000.0,310000.0
7,2009,Q4,660000.0,270000.0
8,2010,Q1,720000.0,330000.0
9,2010,Q2,490000.0,310000.0
10,2010,Q3,600000.0,318050.0
11,2010,Q4,640000.0,295072.75
12,2011,Q1,520000.0,190000.0
13,2011,Q2,710000.0,320000.0
14,2011,Q3,590000.0,350000.0
15,2011,Q4,650000.0,340000.0
16,2012,Q1,750000.0,370000.0
17,2012,Q2,620000.0,360000.0
18,2012,Q3,580000.0,380000.0
19,2012,Q4,610000.0,320000.0
20,2013,Q1,740000.0,510000.0
21,2013,Q2,810000.0,390000.0
22,2013,Q3,670000.0,360000.0
23,2013,Q4,670000.0,360000.0
24,2014,Q1,690000.0,380000.0
25,2014,Q2,670000.0,440000.0
26,2014,Q3,650000.0,370000.0
27,2014,Q4,600000.0,290000.0
28,2015,Q1,670000.0,440000.0
29,2015,Q2,720000.0,380000.0
30,2015,Q3,690000.0,370000.0
31,2015,Q4,720000.0,380000.0
32,2016,Q1,900000.0,430000.0
33,2016,Q2,850000.0,360000.0
34,2016,Q3,760000.0,440000.0
35,2016,Q4,410000.0,470000.0
36,2017,Q1,730000.0,430000.0
37,2017,Q2,790000.0,410000.0
38,2017,Q3,530000.0,360000.0
39,2017,Q4,980000.0,420000.0
40,2018,Q1,800000.0,450000.0
41,2018,Q2,690000.0,490000.0
42,2018,Q3,680000.0,560000.0
43,2018,Q4,810000.0,570000.0
44,2019,Q1,620000.0,642000.0
45,2019,Q2,930000.0,590000.0
46,2019,Q3,820000.0,520000.0
47,2019,Q4,880000.0,410000.0
48,2020,Q1,900000.0,435000.0
49,2020,Q2,1000000.0,445000.0
50,2020,Q3,1330000.0,410000.0
51,2020,Q4,910000.0,422500.0
52,2021,Q1,1410000.0,422500.0
53,2021,Q2,1040000.0,432500.0
54,2021,Q3,800000.0,418000.0
55,2021,Q4,1450000.0,389000.0
56,2022,Q1,1050000.0,315000.0
57,2022,Q2,1070000.0,345000.0
58,2022,Q3,1130000.0,345000.0
59,2022,Q4,1540000.0,345000.0
60,2023,Q1,1640000.0,350000.0
61,2023,Q2,1210000.0,345000.0
62,2023,Q3,1170000.0,345000.0
63,2023,Q4,0.0,135000.0
