,year,period,expenses,income
0,2008,Q1,218000.0,30000.0
1,2008,Q2,237000.0,30000.0
2,2008,Q3,337000.0,30000.0
3,2008,Q4,340000.0,30000.0
4,2009,Q1,419000.0,50000.0
5,2009,Q2,425000.0,70000.0
6,2009,Q3,422000.0,70000.0
7,2009,Q4,419000.0,70000.0
8,2010,Q1,380000.0,70000.0
9,2010,Q2,365000.0,70000.0
10,2010,Q3,190000.0,70000.0
11,2010,Q4,750000.0,70000.0
12,2011,Q1,210000.0,100000.0
13,2011,Q2,430000.0,130000.0
14,2011,Q3,330000.0,130000.0
15,2011,Q4,480000.0,130000.0
16,2012,Q1,210000.0,130000.0
17,2012,Q2,610000.0,130000.0
18,2012,Q3,440000.0,130000.0
19,2012,Q4,415000.0,130000.0
20,2013,Q1,600000.0,130000.0
21,2013,Q2,360000.0,70000.0
22,2013,Q3,320000.0,70000.0
23,2013,Q4,620000.0,70000.0
24,2014,Q1,500000.0,120000.0
25,2014,Q2,260000.0,120000.0
26,2014,Q3,480000.0,120000.0
27,2014,Q4,900000.0,120000.0
28,2015,Q1,500000.0,120000.0
29,2015,Q2,410000.0,120000.0
30,2015,Q3,320000.0,120000.0
31,2015,Q4,600000.0,120000.0
32,2016,Q1,250400.0,120000.0
33,2016,Q2,290000.0,140000.0
34,2016,Q3,250000.0,110000.0
35,2016,Q4,830000.0,90000.0
36,2017,Q1,330000.0,181000.0
37,2017,Q2,310000.0,221000.0
38,2017,Q3,290000.0,211000.0
39,2017,Q4,540000.0,244000.0
40,2018,Q1,390000.0,224000.0
41,2018,Q2,380000.0,220000.0
42,2018,Q3,460000.0,220000.0
43,2018,Q4,500000.0,220000.0
44,2019,Q1,380000.0,190000.0
45,2019,Q2,390000.0,160000.0
46,2019,Q3,400000.0,130000.0
47,2019,Q4,660000.0,150000.0
48,2020,Q1,600000.0,163000.0
49,2020,Q2,310000.0,163000.0
50,2020,Q3,370000.0,163000.0
51,2020,Q4,720000.0,163000.0
52,2021,Q1,400000.0,163000.0
53,2021,Q2,400000.0,163000.0
54,2021,Q3,450000.0,163000.0
55,2021,Q4,910000.0,183000.0
56,2022,Q1,680000.0,183000.0
57,2022,Q2,540000.0,193000.0
58,2022,Q3,910000.0,196000.0
59,2022,Q4,820000.0,126000.0
60,2023,Q1,790000.0,126000.0
61,2023,Q2,530000.0,126000.0
62,2023,Q3,640000.0,126000.0
63,2023,Q4,0.0,65000.0
