,year,period,expenses,income
0,2008,Q1,2783522.32,20000.0
1,2008,Q2,1652678.69,0.0
2,2008,Q3,1553617.68,0.0
3,2008,Q4,2469234.18,0.0
4,2009,Q1,5980935.39,0.0
5,2009,Q2,3269993.39,30000.0
6,2009,Q3,3951150.87,140000.0
7,2009,Q4,4687779.0,140000.0
8,2010,Q1,6408978.0,50000.0
9,2010,Q2,5523001.96,50000.0
10,2010,Q3,4871827.0,50000.0
11,2010,Q4,2822575.0,50000.0
12,2011,Q1,6228663.0,50000.0
13,2011,Q2,4338992.0,50000.0
14,2011,Q3,5566388.0,60000.0
15,2011,Q4,4423000.0,60000.0
16,2012,Q1,1030000.0,60000.0
17,2012,Q2,875000.0,60000.0
18,2012,Q3,454000.0,60000.0
19,2012,Q4,1504736.0,180000.0
20,2013,Q1,1063700.0,180000.0
21,2013,Q2,902050.0,180000.0
22,2013,Q3,908963.0,180000.0
23,2013,Q4,1367640.0,180000.0
24,2014,Q1,914475.0,180000.0
25,2014,Q2,829370.0,150000.0
26,2014,Q3,809345.0,150000.0
27,2014,Q4,1416650.0,150000.0
28,2015,Q1,1002965.0,140000.0
29,2015,Q2,418400.0,130000.0
30,2015,Q3,483468.0,110000.0
31,2015,Q4,1230750.0,130000.0
32,2016,Q1,822000.0,130000.0
33,2016,Q2,500000.0,120000.0
34,2016,Q3,482000.0,160000.0
35,2016,Q4,694000.0,110000.0
36,2017,Q1,790000.0,160000.0
37,2017,Q2,970000.0,110000.0
38,2017,Q3,510000.0,110000.0
39,2017,Q4,740000.0,110000.0
40,2018,Q1,1150000.0,160000.0
41,2018,Q2,460000.0,92000.0
42,2018,Q3,330000.0,124000.0
43,2018,Q4,1140000.0,124000.0
44,2019,Q1,2510000.0,90000.0
45,2019,Q2,660000.0,90000.0
46,2019,Q3,520000.0,110000.0
47,2019,Q4,1180000.0,110000.0
48,2020,Q1,2180000.0,110000.0
49,2020,Q2,580000.0,110000.0
50,2020,Q3,390000.0,90000.0
51,2020,Q4,1040000.0,120000.0
52,2021,Q1,1359800.0,120000.0
53,2021,Q2,770000.0,130000.0
54,2021,Q3,620000.0,130000.0
55,2021,Q4,1690000.0,200000.0
56,2022,Q1,4600000.0,190000.0
57,2022,Q2,1270000.0,190000.0
58,2022,Q3,560000.0,190000.0
59,2022,Q4,2260000.0,200000.0
60,2023,Q1,3360000.0,190000.0
61,2023,Q2,780000.0,190000.0
62,2023,Q3,920000.0,190000.0
63,2023,Q4,2800000.0,0.0
