,year,period,expenses,income
0,2008,Q1,1079168.25,340000.0
1,2008,Q2,1079168.25,228000.0
2,2008,Q3,1111794.0,230000.0
3,2008,Q4,1090043.0,230000.0
4,2009,Q1,1090043.0,230000.0
5,2009,Q2,1497668.0,270000.0
6,2009,Q3,1293720.0,260000.0
7,2009,Q4,1293810.0,270000.0
8,2010,Q1,1119221.0,310000.0
9,2010,Q2,1162966.0,280000.0
10,2010,Q3,1141094.0,250000.0
11,2010,Q4,1141094.0,280000.0
12,2011,Q1,1119220.0,280000.0
13,2011,Q2,1078538.0,240000.0
14,2011,Q3,1098879.0,260000.0
15,2011,Q4,1098879.0,250000.0
16,2012,Q1,795683.0,260000.0
17,2012,Q2,1148844.0,260000.0
18,2012,Q3,1166726.0,160000.0
19,2012,Q4,1503998.0,230000.0
20,2013,Q1,907579.0,230000.0
21,2013,Q2,1072806.0,250000.0
22,2013,Q3,613786.0,250000.0
23,2013,Q4,846755.0,210000.0
24,2014,Q1,745279.0,230000.0
25,2014,Q2,860862.0,230000.0
26,2014,Q3,689929.0,220000.0
27,2014,Q4,687774.0,230000.0
28,2015,Q1,585135.0,190000.0
29,2015,Q2,883108.0,190000.0
30,2015,Q3,550494.0,190000.0
31,2015,Q4,793950.0,190000.0
32,2016,Q1,763128.0,190000.0
33,2016,Q2,876049.0,190000.0
34,2016,Q3,210826.0,190000.0
35,2016,Q4,630978.0,170000.0
36,2017,Q1,788730.0,210000.0
37,2017,Q2,533569.0,170000.0
38,2017,Q3,407527.0,170000.0
39,2017,Q4,503840.0,170000.0
40,2018,Q1,503840.0,170000.0
41,2018,Q2,503840.0,170000.0
42,2018,Q3,0.0,170000.0
43,2018,Q4,499431.0,170000.0
44,2019,Q1,587011.0,170000.0
45,2019,Q2,604923.0,170000.0
46,2019,Q3,514515.0,170000.0
47,2019,Q4,391397.0,188000.0
48,2020,Q1,620153.0,170000.0
49,2020,Q2,478868.0,188000.0
50,2020,Q3,393721.0,188000.0
51,2020,Q4,590000.0,188000.0
52,2021,Q1,600000.0,188000.0
53,2021,Q2,535222.0,188000.0
54,2021,Q3,523000.0,170000.0
55,2021,Q4,400000.0,170000.0
56,2022,Q1,758000.0,170000.0
57,2022,Q2,530000.0,170000.0
58,2022,Q3,25900.0,170000.0
59,2022,Q4,260000.0,170000.0
60,2023,Q1,600000.0,170000.0
61,2023,Q2,385800.0,170000.0
62,2023,Q3,400000.0,170000.0
63,2023,Q4,0.0,70000.0
