,year,period,expenses,income
0,2008,Q1,2960000.0,537000.0
1,2008,Q2,3194000.0,640000.0
2,2008,Q3,4290000.0,633800.0
3,2008,Q4,2400000.0,653000.0
4,2009,Q1,6840000.0,570000.0
5,2009,Q2,6105000.0,583000.0
6,2009,Q3,2790000.0,593000.0
7,2009,Q4,5440000.0,608000.0
8,2010,Q1,3220000.0,562000.0
9,2010,Q2,4260000.0,772500.0
10,2010,Q3,3330000.0,662500.0
11,2010,Q4,3370000.0,690000.0
12,2011,Q1,3210000.0,632000.0
13,2011,Q2,2580000.0,695000.0
14,2011,Q3,2610000.0,680000.0
15,2011,Q4,2960000.0,610000.0
16,2012,Q1,3480000.0,662000.0
17,2012,Q2,2560000.0,662000.0
18,2012,Q3,2440000.0,699500.0
19,2012,Q4,2910000.0,755000.0
20,2013,Q1,4280000.0,835000.0
21,2013,Q2,2360000.0,790000.0
22,2013,Q3,2660000.0,775000.0
23,2013,Q4,3430000.0,680000.0
24,2014,Q1,2620000.0,641000.0
25,2014,Q2,3160000.0,577500.0
26,2014,Q3,2140000.0,622500.0
27,2014,Q4,2410000.0,582500.0
28,2015,Q1,2740000.0,528000.0
29,2015,Q2,2640000.0,455000.0
30,2015,Q3,1910000.0,457500.0
31,2015,Q4,2020000.0,482500.0
32,2016,Q1,2280000.0,466900.0
33,2016,Q2,2820000.0,464500.0
34,2016,Q3,2260000.0,467500.0
35,2016,Q4,2190000.0,502500.0
36,2017,Q1,3900000.0,367500.0
37,2017,Q2,2310000.0,307500.0
38,2017,Q3,2410000.0,302500.0
39,2017,Q4,2530000.0,285000.0
40,2018,Q1,3790000.0,370000.0
41,2018,Q2,3000000.0,375000.0
42,2018,Q3,2510000.0,375000.0
43,2018,Q4,2360000.0,375000.0
44,2019,Q1,3150000.0,385000.0
45,2019,Q2,3360000.0,405000.0
46,2019,Q3,2770000.0,405000.0
47,2019,Q4,2370000.0,415000.0
48,2020,Q1,3470000.0,415000.0
49,2020,Q2,2260000.0,250000.0
50,2020,Q3,1990000.0,232500.0
51,2020,Q4,1130000.0,130000.0
52,2021,Q1,2170000.0,140000.0
53,2021,Q2,1530000.0,100000.0
54,2021,Q3,1350000.0,100000.0
55,2021,Q4,1400000.0,100000.0
56,2022,Q1,1870000.0,100000.0
57,2022,Q2,2070000.0,100000.0
58,2022,Q3,1450000.0,100000.0
59,2022,Q4,1430000.0,100000.0
60,2023,Q1,1980000.0,100000.0
61,2023,Q2,2250000.0,100000.0
62,2023,Q3,1670000.0,100000.0
63,2023,Q4,0.0,100000.0
