,year,period,expenses,income
0,2008,Q1,1760000.0,185000.0
1,2008,Q2,1760000.0,245000.0
2,2008,Q3,2480000.0,245000.0
3,2008,Q4,610000.0,285000.0
4,2009,Q1,819566.0,120000.0
5,2009,Q2,752902.0,120000.0
6,2009,Q3,678516.0,120000.0
7,2009,Q4,736054.0,120000.0
8,2010,Q1,1348125.0,120000.0
9,2010,Q2,671000.0,120000.0
10,2010,Q3,521336.0,120000.0
11,2010,Q4,561093.0,120000.0
12,2011,Q1,502667.0,210000.0
13,2011,Q2,503922.0,210000.0
14,2011,Q3,533370.0,210000.0
15,2011,Q4,974576.0,210000.0
16,2012,Q1,1366444.0,210000.0
17,2012,Q2,698840.0,240000.0
18,2012,Q3,743494.0,210000.0
19,2012,Q4,722145.0,120000.0
20,2013,Q1,638482.0,120000.0
21,2013,Q2,733642.0,120000.0
22,2013,Q3,689514.0,150000.0
23,2013,Q4,978984.0,150000.0
24,2014,Q1,657678.0,150000.0
25,2014,Q2,706724.0,170000.0
26,2014,Q3,846287.0,210000.0
27,2014,Q4,0.0,90000.0
28,2015,Q1,764445.0,90000.0
29,2015,Q2,819942.0,90000.0
30,2015,Q3,717997.0,100000.0
31,2015,Q4,691292.0,80000.0
32,2016,Q1,540909.0,90000.0
33,2016,Q2,623099.0,150000.0
34,2016,Q3,651509.0,90000.0
35,2016,Q4,677834.0,150000.0
36,2017,Q1,676539.0,210000.0
37,2017,Q2,721490.0,210000.0
38,2017,Q3,626702.0,150000.0
39,2017,Q4,726206.0,150000.0
40,2018,Q1,857072.0,110000.0
41,2018,Q2,828927.0,120000.0
42,2018,Q3,785409.0,170000.0
43,2018,Q4,820000.0,170000.0
44,2019,Q1,820000.0,110000.0
45,2019,Q2,980000.0,170000.0
46,2019,Q3,980000.0,170000.0
47,2019,Q4,950000.0,170000.0
48,2020,Q1,1240000.0,190000.0
49,2020,Q2,1050000.0,190000.0
50,2020,Q3,1030000.0,190000.0
51,2020,Q4,970000.0,190000.0
52,2021,Q1,1050000.0,200000.0
53,2021,Q2,1130000.0,220000.0
54,2021,Q3,1080000.0,230000.0
55,2021,Q4,1070000.0,239375.0
56,2022,Q1,1300000.0,235625.0
57,2022,Q2,1100000.0,230000.0
58,2022,Q3,1200000.0,220000.0
59,2022,Q4,1200000.0,220000.0
60,2023,Q1,1300000.0,245000.0
61,2023,Q2,1300000.0,285000.0
62,2023,Q3,1260000.0,305000.0
63,2023,Q4,0.0,75000.0
