,year,period,expenses,income
0,2008,Q1,460000.0,180000.0
1,2008,Q2,770000.0,210000.0
2,2008,Q3,760000.0,190000.0
3,2008,Q4,740000.0,180000.0
4,2009,Q1,725000.0,180000.0
5,2009,Q2,730000.0,210000.0
6,2009,Q3,710000.0,240000.0
7,2009,Q4,760000.0,160000.0
8,2010,Q1,760000.0,145000.0
9,2010,Q2,690000.0,130000.0
10,2010,Q3,650000.0,110000.0
11,2010,Q4,650000.0,110000.0
12,2011,Q1,650000.0,100000.0
13,2011,Q2,650000.0,130000.0
14,2011,Q3,620000.0,120000.0
15,2011,Q4,620000.0,130000.0
16,2012,Q1,620000.0,120000.0
17,2012,Q2,590000.0,180000.0
18,2012,Q3,590000.0,170000.0
19,2012,Q4,590000.0,180000.0
20,2013,Q1,590000.0,170000.0
21,2013,Q2,480000.0,160000.0
22,2013,Q3,600000.0,150000.0
23,2013,Q4,600000.0,110000.0
24,2014,Q1,710000.0,150000.0
25,2014,Q2,700000.0,110000.0
26,2014,Q3,670000.0,120000.0
27,2014,Q4,650000.0,160000.0
28,2015,Q1,670000.0,170000.0
29,2015,Q2,820000.0,190000.0
30,2015,Q3,850000.0,140000.0
31,2015,Q4,760359.0,140000.0
32,2016,Q1,690000.0,180000.0
33,2016,Q2,710000.0,170000.0
34,2016,Q3,820000.0,180000.0
35,2016,Q4,770000.0,180000.0
36,2017,Q1,900000.0,180000.0
37,2017,Q2,870000.0,180000.0
38,2017,Q3,910000.0,220000.0
39,2017,Q4,1000000.0,320000.0
40,2018,Q1,1150000.0,340000.0
41,2018,Q2,1090000.0,300000.0
42,2018,Q3,1040000.0,280000.0
43,2018,Q4,1130000.0,280000.0
44,2019,Q1,1450000.0,280000.0
45,2019,Q2,1100000.0,280000.0
46,2019,Q3,1190000.0,280000.0
47,2019,Q4,1290000.0,280000.0
48,2020,Q1,1100000.0,290000.0
49,2020,Q2,1090000.0,330000.0
50,2020,Q3,1150000.0,392500.0
51,2020,Q4,1190000.0,405000.0
52,2021,Q1,1230000.0,515000.0
53,2021,Q2,1430000.0,595000.0
54,2021,Q3,1580000.0,635000.0
55,2021,Q4,1580000.0,645000.0
56,2022,Q1,1520000.0,635000.0
57,2022,Q2,1600000.0,595000.0
58,2022,Q3,1620000.0,595000.0
59,2022,Q4,1630000.0,620000.0
60,2023,Q1,1430000.0,590000.0
61,2023,Q2,1610000.0,590000.0
62,2023,Q3,1650000.0,610000.0
63,2023,Q4,0.0,210000.0
