,year,period,expenses,income
0,2008,Q1,1032842.0,120000.0
1,2008,Q2,1478416.0,118000.0
2,2008,Q3,1285370.0,125000.0
3,2008,Q4,1293370.0,195000.0
4,2009,Q1,1282770.0,135000.0
5,2009,Q2,1507000.0,150000.0
6,2009,Q3,1530330.0,260000.0
7,2009,Q4,1560416.0,255000.0
8,2010,Q1,1600000.0,290000.0
9,2010,Q2,1690000.0,280000.0
10,2010,Q3,1590000.0,320000.0
11,2010,Q4,1620000.0,320000.0
12,2011,Q1,1470000.0,315000.0
13,2011,Q2,1730000.0,290000.0
14,2011,Q3,1600000.0,350000.0
15,2011,Q4,1540000.0,270000.0
16,2012,Q1,2170000.0,280000.0
17,2012,Q2,1420000.0,270000.0
18,2012,Q3,1340000.0,220000.0
19,2012,Q4,2320000.0,210000.0
20,2013,Q1,1590000.0,170000.0
21,2013,Q2,1400000.0,260000.0
22,2013,Q3,1420000.0,170000.0
23,2013,Q4,1580000.0,180000.0
24,2014,Q1,2040000.0,160000.0
25,2014,Q2,1250000.0,150000.0
26,2014,Q3,1240000.0,150000.0
27,2014,Q4,1340000.0,150000.0
28,2015,Q1,2020000.0,150000.0
29,2015,Q2,1225000.0,120000.0
30,2015,Q3,1217000.0,120000.0
31,2015,Q4,1300000.0,90000.0
32,2016,Q1,2510000.0,70000.0
33,2016,Q2,1420000.0,70000.0
34,2016,Q3,1420000.0,60000.0
35,2016,Q4,1420000.0,30000.0
36,2017,Q1,1420000.0,30000.0
37,2017,Q2,1420000.0,30000.0
38,2017,Q3,1495000.0,50000.0
39,2017,Q4,2184395.0,50000.0
40,2018,Q1,1351159.0,50000.0
41,2018,Q2,1256230.0,50000.0
42,2018,Q3,1326330.0,110000.0
43,2018,Q4,1411873.0,110000.0
44,2019,Q1,1314839.0,110000.0
45,2019,Q2,1353844.0,160000.0
46,2019,Q3,1311983.0,160000.0
47,2019,Q4,1303844.0,160000.0
48,2020,Q1,3603256.0,160000.0
49,2020,Q2,1000000.0,160000.0
50,2020,Q3,860000.0,160000.0
51,2020,Q4,860000.0,160000.0
52,2021,Q1,1600000.0,190000.0
53,2021,Q2,800000.0,190000.0
54,2021,Q3,675000.0,190000.0
55,2021,Q4,670000.0,190000.0
56,2022,Q1,1950000.0,190000.0
57,2022,Q2,1140000.0,190000.0
58,2022,Q3,1110000.0,190000.0
59,2022,Q4,1110000.0,190000.0
60,2023,Q1,2260000.0,200000.0
61,2023,Q2,1290000.0,200000.0
62,2023,Q3,1180000.0,210000.0
63,2023,Q4,0.0,80000.0
