,year,period,expenses,income
0,2008,Q1,545000.0,162500.0
1,2008,Q2,568500.0,193500.0
2,2008,Q3,494500.0,227600.0
3,2008,Q4,382500.0,187567.0
4,2009,Q1,486400.0,260057.0
5,2009,Q2,401000.0,265096.8
6,2009,Q3,539000.0,215000.0
7,2009,Q4,415000.0,200020.0
8,2010,Q1,539000.0,245000.0
9,2010,Q2,363500.0,192500.0
10,2010,Q3,411450.0,212500.0
11,2010,Q4,397000.0,192500.0
12,2011,Q1,424500.0,172500.0
13,2011,Q2,353850.0,162500.0
14,2011,Q3,385000.0,162500.0
15,2011,Q4,385000.0,132500.0
16,2012,Q1,426500.0,182500.0
17,2012,Q2,400600.0,192500.0
18,2012,Q3,379100.0,192500.0
19,2012,Q4,347500.0,202500.0
20,2013,Q1,481951.4,182500.0
21,2013,Q2,711525.66,212500.0
22,2013,Q3,565265.63,242500.0
23,2013,Q4,485000.0,192500.0
24,2014,Q1,475418.0,172500.0
25,2014,Q2,382864.39,182500.0
26,2014,Q3,300564.39,202500.0
27,2014,Q4,405479.0,202500.0
28,2015,Q1,572885.0,118000.0
29,2015,Q2,358329.0,118000.0
30,2015,Q3,281455.22,80000.0
31,2015,Q4,350000.0,70000.0
32,2016,Q1,550000.0,110000.0
33,2016,Q2,580000.0,130000.0
34,2016,Q3,510000.0,130000.0
35,2016,Q4,510000.0,160000.0
36,2017,Q1,1150000.0,170000.0
37,2017,Q2,570000.0,170000.0
38,2017,Q3,400000.0,170000.0
39,2017,Q4,450000.0,170000.0
40,2018,Q1,400000.0,120000.0
41,2018,Q2,430000.0,120000.0
42,2018,Q3,410000.0,140000.0
43,2018,Q4,410000.0,150000.0
44,2019,Q1,370000.0,140000.0
45,2019,Q2,330000.0,140000.0
46,2019,Q3,330000.0,140000.0
47,2019,Q4,290000.0,140000.0
48,2020,Q1,660000.0,140000.0
49,2020,Q2,300000.0,230000.0
50,2020,Q3,300000.0,130000.0
51,2020,Q4,240000.0,150000.0
52,2021,Q1,200000.0,190000.0
53,2021,Q2,320000.0,200000.0
54,2021,Q3,340000.0,200000.0
55,2021,Q4,340000.0,210000.0
56,2022,Q1,350000.0,270000.0
57,2022,Q2,350000.0,220000.0
58,2022,Q3,350000.0,130000.0
59,2022,Q4,470000.0,90000.0
60,2023,Q1,490000.0,90000.0
61,2023,Q2,450000.0,120000.0
62,2023,Q3,530000.0,120000.0
