,year,period,expenses,income
0,2008,Q1,1050000.0,0.0
1,2008,Q2,890000.0,0.0
2,2008,Q3,960000.0,0.0
3,2008,Q4,970000.0,0.0
4,2009,Q1,1220000.0,0.0
5,2009,Q2,1200000.0,0.0
6,2009,Q3,1080000.0,0.0
7,2009,Q4,1200000.0,0.0
8,2010,Q1,1420000.0,0.0
9,2010,Q2,1120000.0,0.0
10,2010,Q3,1120000.0,0.0
11,2010,Q4,1060000.0,0.0
12,2011,Q1,1350000.0,0.0
13,2011,Q2,1310000.0,0.0
14,2011,Q3,870000.0,0.0
15,2011,Q4,1160000.0,0.0
16,2012,Q1,1230000.0,0.0
17,2012,Q2,910000.0,0.0
18,2012,Q3,1070000.0,0.0
19,2012,Q4,1090000.0,0.0
20,2013,Q1,1840000.0,0.0
21,2013,Q2,1350000.0,0.0
22,2013,Q3,880000.0,0.0
23,2013,Q4,1280000.0,0.0
24,2014,Q1,1520000.0,0.0
25,2014,Q2,1580000.0,0.0
26,2014,Q3,1050000.0,0.0
27,2014,Q4,1730000.0,0.0
28,2015,Q1,1430000.0,0.0
29,2015,Q2,1090000.0,0.0
30,2015,Q3,2340000.0,0.0
31,2015,Q4,1140000.0,0.0
32,2016,Q1,1310000.0,0.0
33,2016,Q2,1050000.0,0.0
34,2016,Q3,2400000.0,0.0
35,2016,Q4,1140000.0,0.0
36,2017,Q1,1640000.0,0.0
37,2017,Q2,1110000.0,0.0
38,2017,Q3,820000.0,0.0
39,2017,Q4,1730000.0,0.0
40,2018,Q1,1350000.0,0.0
41,2018,Q2,930000.0,0.0
42,2018,Q3,730000.0,0.0
43,2018,Q4,1840000.0,0.0
44,2019,Q1,1070000.0,0.0
45,2019,Q2,1110000.0,0.0
46,2019,Q3,680000.0,0.0
47,2019,Q4,2210000.0,0.0
48,2020,Q1,1080000.0,0.0
49,2020,Q2,1220000.0,0.0
50,2020,Q3,730000.0,0.0
51,2020,Q4,1160000.0,0.0
52,2021,Q1,1310000.0,10000.0
53,2021,Q2,1730000.0,30000.0
54,2021,Q3,2210000.0,30000.0
55,2021,Q4,1280000.0,30000.0
56,2022,Q1,2080000.0,60000.0
57,2022,Q2,1570000.0,80000.0
58,2022,Q3,1590000.0,90000.0
59,2022,Q4,1270000.0,90000.0
60,2023,Q1,3640000.0,97500.0
61,2023,Q2,1430000.0,97500.0
62,2023,Q3,1230000.0,167500.0
63,2023,Q4,0.0,97500.0
