,year,period,expenses,income
0,2008,Q1,2842130.0,385000.0
1,2008,Q2,2050000.0,372500.0
2,2008,Q3,1820000.0,385000.0
3,2008,Q4,1957000.0,305000.0
4,2009,Q1,2780000.0,340000.0
5,2009,Q2,1603000.0,365000.0
6,2009,Q3,1880000.0,335000.0
7,2009,Q4,1940000.0,245000.0
8,2010,Q1,3126520.0,205000.0
9,2010,Q2,1956193.0,252500.0
10,2010,Q3,2679223.0,222500.0
11,2010,Q4,2062042.0,267500.0
12,2011,Q1,2397181.0,305000.0
13,2011,Q2,2570000.0,322500.0
14,2011,Q3,2410500.0,322500.0
15,2011,Q4,3125473.0,352500.0
16,2012,Q1,2738991.0,302500.0
17,2012,Q2,1710358.5,272500.0
18,2012,Q3,1585000.0,170000.0
19,2012,Q4,1735000.0,196000.0
20,2013,Q1,1660000.0,119500.0
21,2013,Q2,1650000.0,100000.0
22,2013,Q3,1550000.0,100000.0
23,2013,Q4,1400000.0,185000.0
24,2014,Q1,2840000.0,185000.0
25,2014,Q2,1235000.0,170000.0
26,2014,Q3,1110000.0,175000.0
27,2014,Q4,1110000.0,175000.0
28,2015,Q1,2690000.0,192000.0
29,2015,Q2,1140000.0,200500.0
30,2015,Q3,1160000.0,200500.0
31,2015,Q4,1110000.0,200500.0
32,2016,Q1,2520000.0,175000.0
33,2016,Q2,900000.0,175000.0
34,2016,Q3,910000.0,175000.0
35,2016,Q4,900000.0,175000.0
36,2017,Q1,1640000.0,175000.0
37,2017,Q2,960000.0,175000.0
38,2017,Q3,970000.0,100000.0
39,2017,Q4,950000.0,120000.0
40,2018,Q1,1650000.0,120000.0
41,2018,Q2,980000.0,120000.0
42,2018,Q3,1980000.0,120000.0
43,2018,Q4,995000.0,140000.0
44,2019,Q1,1850000.0,120000.0
45,2019,Q2,2050000.0,160000.0
46,2019,Q3,1075000.0,120000.0
47,2019,Q4,880000.0,110000.0
48,2020,Q1,1780000.0,105000.0
49,2020,Q2,920000.0,120000.0
50,2020,Q3,970000.0,115000.0
51,2020,Q4,1000000.0,105000.0
52,2021,Q1,1800000.0,90000.0
53,2021,Q2,940000.0,105000.0
54,2021,Q3,900000.0,90000.0
55,2021,Q4,1020000.0,105000.0
56,2022,Q1,1118000.0,100000.0
57,2022,Q2,510000.0,190000.0
58,2022,Q3,540000.0,220000.0
59,2022,Q4,450000.0,255000.0
60,2023,Q1,960000.0,260000.0
61,2023,Q2,630000.0,240000.0
62,2023,Q3,460000.0,260000.0
63,2023,Q4,0.0,140000.0
