,year,period,expenses,income
0,2008,Q1,2190000.0,335000.0
1,2008,Q2,2295000.0,440000.0
2,2008,Q3,2280000.0,460000.0
3,2008,Q4,2090000.0,380000.0
4,2009,Q1,2370000.0,431000.0
5,2009,Q2,3740000.0,540000.0
6,2009,Q3,5610000.0,780000.0
7,2009,Q4,4650000.0,560000.0
8,2010,Q1,4899894.0,666000.0
9,2010,Q2,7048094.0,701000.0
10,2010,Q3,7587297.0,700000.0
11,2010,Q4,6046789.0,770000.0
12,2011,Q1,3897398.0,650000.0
13,2011,Q2,2843285.0,590000.0
14,2011,Q3,3486540.0,670000.0
15,2011,Q4,2934561.0,680000.0
16,2012,Q1,3032525.0,600000.0
17,2012,Q2,2879986.0,640000.0
18,2012,Q3,3085989.0,680000.0
19,2012,Q4,2875880.0,700000.0
20,2013,Q1,2904784.0,714000.0
21,2013,Q2,3089644.0,734000.0
22,2013,Q3,3041394.0,720000.0
23,2013,Q4,3165090.0,690000.0
24,2014,Q1,3271984.0,680000.0
25,2014,Q2,3190012.0,675000.0
26,2014,Q3,3101780.0,615000.0
27,2014,Q4,3850760.0,580000.0
28,2015,Q1,2810000.0,660000.0
29,2015,Q2,3013835.0,665000.0
30,2015,Q3,3250000.0,640000.0
31,2015,Q4,3332000.0,670000.0
32,2016,Q1,2900000.0,660000.0
33,2016,Q2,3060000.0,660000.0
34,2016,Q3,3261000.0,700000.0
35,2016,Q4,3320000.0,605000.0
36,2017,Q1,2679000.0,745000.0
37,2017,Q2,2549000.0,745000.0
38,2017,Q3,2400000.0,860000.0
39,2017,Q4,2680000.0,835000.0
40,2018,Q1,2540000.0,825000.0
41,2018,Q2,2460000.0,835000.0
42,2018,Q3,2460000.0,825000.0
43,2018,Q4,2710000.0,835000.0
44,2019,Q1,2840000.0,915000.0
45,2019,Q2,2730000.0,655000.0
46,2019,Q3,2320000.0,655000.0
47,2019,Q4,2640000.0,695000.0
48,2020,Q1,2340000.0,685000.0
49,2020,Q2,2820000.0,695000.0
50,2020,Q3,2300000.0,710000.0
51,2020,Q4,2516000.0,665000.0
52,2021,Q1,2080000.0,695000.0
53,2021,Q2,2610000.0,715000.0
54,2021,Q3,2290000.0,670000.0
55,2021,Q4,2610000.0,670000.0
56,2022,Q1,2224000.0,660000.0
57,2022,Q2,2400000.0,680000.0
58,2022,Q3,2990000.0,740000.0
59,2022,Q4,2420000.0,660000.0
60,2023,Q1,2730000.0,680000.0
61,2023,Q2,3100000.0,730000.0
62,2023,Q3,2980000.0,720000.0
63,2023,Q4,0.0,380000.0
