,year,period,expenses,income
0,2008,Q1,1943999.0,375000.0
1,2008,Q2,2144514.0,380000.0
2,2008,Q3,2136106.0,410000.0
3,2008,Q4,2257820.0,440000.0
4,2009,Q1,2101945.0,425000.0
5,2009,Q2,2636308.0,540000.0
6,2009,Q3,2576308.0,410000.0
7,2009,Q4,3080697.0,460000.0
8,2010,Q1,2335594.0,405000.0
9,2010,Q2,2824840.0,450000.0
10,2010,Q3,2624136.0,410000.0
11,2010,Q4,3348836.0,440000.0
12,2011,Q1,2942469.0,439000.0
13,2011,Q2,3194118.0,453000.0
14,2011,Q3,2617824.0,370000.0
15,2011,Q4,2939192.0,384000.0
16,2012,Q1,2218318.0,300000.0
17,2012,Q2,2821462.0,300000.0
18,2012,Q3,2845325.0,290000.0
19,2012,Q4,2999377.0,230000.0
20,2013,Q1,4716336.0,160000.0
21,2013,Q2,3189639.0,160000.0
22,2013,Q3,2254157.0,240000.0
23,2013,Q4,3265010.0,210000.0
24,2014,Q1,2402073.0,180000.0
25,2014,Q2,2863728.0,230000.0
26,2014,Q3,2505695.0,254000.0
27,2014,Q4,0.0,270000.0
28,2015,Q1,2503469.0,180000.0
29,2015,Q2,2653067.0,180000.0
30,2015,Q3,2511911.0,180000.0
31,2015,Q4,2591443.0,180000.0
32,2016,Q1,2495541.0,190000.0
33,2016,Q2,2776602.0,190000.0
34,2016,Q3,2558197.0,200000.0
35,2016,Q4,2909604.0,200000.0
36,2017,Q1,2977788.0,200000.0
37,2017,Q2,2812811.0,230000.0
38,2017,Q3,2708778.0,230000.0
39,2017,Q4,2966592.0,230000.0
40,2018,Q1,2906952.0,200000.0
41,2018,Q2,2893410.0,200000.0
42,2018,Q3,2923431.0,200000.0
43,2018,Q4,3181261.0,180000.0
44,2019,Q1,2670027.0,180000.0
45,2019,Q2,2494950.0,180000.0
46,2019,Q3,2448073.0,180000.0
47,2019,Q4,2692056.0,180000.0
48,2020,Q1,2551537.0,180000.0
49,2020,Q2,2608314.0,180000.0
50,2020,Q3,2748164.0,190000.0
51,2020,Q4,2815951.0,170000.0
52,2021,Q1,2679347.0,184000.0
53,2021,Q2,2860672.0,206000.0
54,2021,Q3,2369829.0,186000.0
55,2021,Q4,3067596.0,167500.0
56,2022,Q1,2870000.0,187500.0
57,2022,Q2,3060000.0,225000.0
58,2022,Q3,2520000.0,187500.0
59,2022,Q4,3130000.0,187500.0
60,2023,Q1,3040000.0,187500.0
61,2023,Q2,3350000.0,187500.0
62,2023,Q3,2810000.0,187500.0
63,2023,Q4,2960000.0,155000.0
