,year,period,expenses,income
0,2008,Q1,0,1045000
1,2008,Q2,0,955000
2,2008,Q3,0,960000
3,2008,Q4,0,930000
4,2009,Q1,0,580000
5,2009,Q2,0,1135000
6,2009,Q3,0,745000
7,2009,Q4,0,1065000
8,2010,Q1,0,700000
9,2010,Q2,0,1390000
10,2010,Q3,0,1230000
11,2010,Q4,0,1235000
12,2011,Q1,0,1055000
13,2011,Q2,0,1005000
14,2011,Q3,0,975000
15,2011,Q4,0,1305000
16,2012,Q1,0,810000
17,2012,Q2,0,720000
18,2012,Q3,0,870000
19,2012,Q4,0,640000
20,2013,Q1,0,690000
21,2013,Q2,0,690000
22,2013,Q3,0,700000
23,2013,Q4,0,740000
24,2014,Q1,0,700000
25,2014,Q2,0,720000
26,2014,Q3,0,570000
27,2014,Q4,0,570000
28,2015,Q1,0,620000
29,2015,Q2,0,640000
30,2015,Q3,0,630000
31,2015,Q4,0,430000
32,2016,Q1,0,400000
33,2016,Q2,0,360000
34,2016,Q3,0,300000
35,2016,Q4,0,270000
36,2017,Q1,0,300000
37,2017,Q2,0,290000
38,2017,Q3,0,290000
39,2017,Q4,0,250000
40,2018,Q1,0,210000
41,2018,Q2,0,250000
42,2018,Q3,0,250000
43,2018,Q4,0,280000
44,2019,Q1,0,280000
45,2019,Q2,0,270000
46,2019,Q3,0,240000
47,2019,Q4,0,190000
48,2020,Q1,0,325000
49,2020,Q2,0,250000
50,2020,Q3,0,230000
51,2020,Q4,0,230000
52,2021,Q1,0,190000
53,2021,Q2,0,190000
54,2021,Q3,0,190000
55,2021,Q4,0,200000
56,2022,Q1,0,190000
57,2022,Q2,0,210000
58,2022,Q3,0,140000
59,2022,Q4,0,270000
60,2023,Q1,0,210000
61,2023,Q2,0,165000
62,2023,Q3,0,155000
63,2023,Q4,0,10000
