,year,period,expenses,income
0,2008,Q1,180000.0,140000.0
1,2008,Q2,250000.0,140000.0
2,2008,Q3,230000.0,140000.0
3,2008,Q4,240000.0,140000.0
4,2009,Q1,270000.0,140000.0
5,2009,Q2,290000.0,140000.0
6,2009,Q3,350000.0,140000.0
7,2009,Q4,370000.0,140000.0
8,2010,Q1,480000.0,140000.0
9,2010,Q2,350000.0,140000.0
10,2010,Q3,350000.0,140000.0
11,2010,Q4,340000.0,140000.0
12,2011,Q1,500000.0,140000.0
13,2011,Q2,390000.0,170000.0
14,2011,Q3,370000.0,170000.0
15,2011,Q4,400000.0,170000.0
16,2012,Q1,560000.0,250000.0
17,2012,Q2,340000.0,170000.0
18,2012,Q3,370000.0,155000.0
19,2012,Q4,320000.0,165000.0
20,2013,Q1,460000.0,275000.0
21,2013,Q2,510000.0,320000.0
22,2013,Q3,540000.0,320000.0
23,2013,Q4,550000.0,320000.0
24,2014,Q1,810000.0,340000.0
25,2014,Q2,820000.0,320000.0
26,2014,Q3,640000.0,278000.0
27,2014,Q4,620000.0,288000.0
28,2015,Q1,800000.0,218000.0
29,2015,Q2,550000.0,290000.0
30,2015,Q3,700000.0,290000.0
31,2015,Q4,890000.0,277900.0
32,2016,Q1,980000.0,245200.0
33,2016,Q2,760000.0,256000.0
34,2016,Q3,780000.0,350000.0
35,2016,Q4,960000.0,320000.0
36,2017,Q1,1050000.0,394500.0
37,2017,Q2,790000.0,360000.0
38,2017,Q3,810000.0,375000.0
39,2017,Q4,900000.0,375000.0
40,2018,Q1,810000.0,350000.0
41,2018,Q2,800000.0,280000.0
42,2018,Q3,680000.0,220000.0
43,2018,Q4,700000.0,220000.0
44,2019,Q1,1860000.0,450000.0
45,2019,Q2,1080000.0,540000.0
46,2019,Q3,1480000.0,540000.0
47,2019,Q4,1300000.0,550000.0
48,2020,Q1,2450000.0,645000.0
49,2020,Q2,1260000.0,605000.0
50,2020,Q3,1810000.0,605000.0
51,2020,Q4,1510000.0,605000.0
52,2021,Q1,2530000.0,585000.0
53,2021,Q2,1380000.0,605000.0
54,2021,Q3,2290000.0,605000.0
55,2021,Q4,1980000.0,605000.0
56,2022,Q1,2620000.0,625000.0
57,2022,Q2,1372000.0,625000.0
58,2022,Q3,2520000.0,635000.0
59,2022,Q4,1490000.0,635000.0
60,2023,Q1,2840000.0,685000.0
61,2023,Q2,1440000.0,735000.0
62,2023,Q3,2390000.0,785000.0
63,2023,Q4,0.0,455000.0
