,year,period,expenses,income
0,2008,Q1,0.0,235000.0
1,2008,Q2,0.0,225000.0
2,2008,Q3,0.0,175000.0
3,2008,Q4,0.0,185000.0
4,2009,Q1,0.0,180000.0
5,2009,Q2,0.0,50000.0
6,2009,Q3,1360000.0,25000.0
7,2009,Q4,1480000.0,60000.0
8,2010,Q1,1360000.0,370000.0
9,2010,Q2,2720000.0,547500.0
10,2010,Q3,2490000.0,570000.0
11,2010,Q4,3000000.0,635000.0
12,2011,Q1,3580000.0,745000.0
13,2011,Q2,1940000.0,725000.0
14,2011,Q3,1780000.0,725000.0
15,2011,Q4,3540000.0,545000.0
16,2012,Q1,2660000.0,415000.0
17,2012,Q2,1670000.0,385000.0
18,2012,Q3,1350000.0,385000.0
19,2012,Q4,1480000.0,385000.0
20,2013,Q1,0.0,355000.0
21,2013,Q2,1930000.0,305000.0
22,2013,Q3,1670000.0,335000.0
23,2013,Q4,2000000.0,300000.0
24,2014,Q1,2940000.0,345000.0
25,2014,Q2,2270000.0,435000.0
26,2014,Q3,1340000.0,405000.0
27,2014,Q4,1960000.0,480000.0
28,2015,Q1,3230000.0,435000.0
29,2015,Q2,1750000.0,415000.0
30,2015,Q3,1750000.0,355000.0
31,2015,Q4,2390000.0,185000.0
32,2016,Q1,2870000.0,130000.0
33,2016,Q2,1860000.0,210000.0
34,2016,Q3,1750000.0,200000.0
35,2016,Q4,2020000.0,170000.0
36,2017,Q1,3930000.0,170000.0
37,2017,Q2,1640000.0,150000.0
38,2017,Q3,1390000.0,160000.0
39,2017,Q4,1680000.0,160000.0
40,2018,Q1,3140000.0,210000.0
41,2018,Q2,1430000.0,270000.0
42,2018,Q3,1570000.0,260000.0
43,2018,Q4,1630000.0,260000.0
44,2019,Q1,3840000.0,210000.0
45,2019,Q2,1470000.0,310000.0
46,2019,Q3,1690000.0,255000.0
47,2019,Q4,1380000.0,260000.0
48,2020,Q1,3240000.0,360000.0
49,2020,Q2,1550000.0,400000.0
50,2020,Q3,1330000.0,480000.0
51,2020,Q4,2110000.0,480000.0
52,2021,Q1,3550000.0,645000.0
53,2021,Q2,1860000.0,760000.0
54,2021,Q3,2130000.0,760000.0
55,2021,Q4,2140000.0,760000.0
56,2022,Q1,4820000.0,840000.0
57,2022,Q2,1920000.0,820000.0
58,2022,Q3,2080000.0,850000.0
59,2022,Q4,1840000.0,800000.0
60,2023,Q1,5410000.0,710000.0
61,2023,Q2,2920000.0,730000.0
62,2023,Q3,2730000.0,710000.0
63,2023,Q4,290000.0,160000.0
