,year,period,expenses,income
0,2008,Q1,620000.0,230000.0
1,2008,Q2,730000.0,578000.0
2,2008,Q3,720000.0,436000.0
3,2008,Q4,770000.0,370000.0
4,2009,Q1,880000.0,370000.0
5,2009,Q2,950000.0,300000.0
6,2009,Q3,1080000.0,480000.0
7,2009,Q4,1120000.0,450000.0
8,2010,Q1,1380000.0,430000.0
9,2010,Q2,1340000.0,470000.0
10,2010,Q3,1200000.0,430000.0
11,2010,Q4,1240000.0,370000.0
12,2011,Q1,1480000.0,310000.0
13,2011,Q2,2060000.0,560000.0
14,2011,Q3,2380000.0,1195000.0
15,2011,Q4,3760000.0,1195000.0
16,2012,Q1,5030000.0,1105000.0
17,2012,Q2,3920000.0,1080000.0
18,2012,Q3,4180000.0,980000.0
19,2012,Q4,3350000.0,940000.0
20,2013,Q1,3350000.0,905000.0
21,2013,Q2,3360000.0,875000.0
22,2013,Q3,3370000.0,835000.0
23,2013,Q4,3980000.0,855000.0
24,2014,Q1,3820000.0,795000.0
25,2014,Q2,5030000.0,705000.0
26,2014,Q3,3940000.0,795000.0
27,2014,Q4,3780000.0,765000.0
28,2015,Q1,5470000.0,757500.0
29,2015,Q2,4620000.0,807500.0
30,2015,Q3,3650000.0,843123.0
31,2015,Q4,3290000.0,863684.0
32,2016,Q1,3800000.0,862893.0
33,2016,Q2,4240000.0,865300.0
34,2016,Q3,3810000.0,860377.0
35,2016,Q4,3580000.0,727500.0
36,2017,Q1,3520000.0,827500.0
37,2017,Q2,5930000.0,935000.0
38,2017,Q3,4170000.0,965000.0
39,2017,Q4,4420000.0,1065000.0
40,2018,Q1,5020000.0,1035000.0
41,2018,Q2,5830000.0,1042500.0
42,2018,Q3,5460000.0,1042500.0
43,2018,Q4,4900000.0,992500.0
44,2019,Q1,3500000.0,1055000.0
45,2019,Q2,3090000.0,805000.0
46,2019,Q3,2920000.0,745000.0
47,2019,Q4,2910000.0,715000.0
48,2020,Q1,1970000.0,805000.0
49,2020,Q2,1840000.0,785000.0
50,2020,Q3,2140000.0,745000.0
51,2020,Q4,2350000.0,765000.0
52,2021,Q1,2970000.0,825000.0
53,2021,Q2,2350000.0,815000.0
54,2021,Q3,2820000.0,845000.0
55,2021,Q4,2550000.0,805000.0
56,2022,Q1,3340000.0,885000.0
57,2022,Q2,3060000.0,885000.0
58,2022,Q3,2810000.0,980000.0
59,2022,Q4,3070000.0,900000.0
60,2023,Q1,3300000.0,905000.0
61,2023,Q2,3870000.0,955000.0
62,2023,Q3,3380000.0,955000.0
63,2023,Q4,0.0,230000.0
