,year,period,expenses,income
0,2008,Q1,760000.0,240000.0
1,2008,Q2,980000.0,210000.0
2,2008,Q3,1040000.0,210000.0
3,2008,Q4,500000.0,230000.0
4,2009,Q1,670000.0,320000.0
5,2009,Q2,630000.0,170000.0
6,2009,Q3,840000.0,270000.0
7,2009,Q4,690000.0,290000.0
8,2010,Q1,1150000.0,290000.0
9,2010,Q2,1580000.0,470000.0
10,2010,Q3,780000.0,370000.0
11,2010,Q4,1060000.0,380000.0
12,2011,Q1,1320000.0,420000.0
13,2011,Q2,1080000.0,420000.0
14,2011,Q3,800000.0,420000.0
15,2011,Q4,1150000.0,420000.0
16,2012,Q1,1380000.0,400000.0
17,2012,Q2,700000.0,530000.0
18,2012,Q3,600000.0,485000.0
19,2012,Q4,860000.0,502500.0
20,2013,Q1,1250000.0,512500.0
21,2013,Q2,840000.0,412500.0
22,2013,Q3,880000.0,512500.0
23,2013,Q4,0.0,512500.0
24,2014,Q1,1320000.0,490000.0
25,2014,Q2,850000.0,560000.0
26,2014,Q3,690000.0,500000.0
27,2014,Q4,600000.0,540000.0
28,2015,Q1,1230000.0,500000.0
29,2015,Q2,840000.0,600000.0
30,2015,Q3,870000.0,540000.0
31,2015,Q4,740000.0,530000.0
32,2016,Q1,1330000.0,510000.0
33,2016,Q2,690000.0,390000.0
34,2016,Q3,550000.0,360000.0
35,2016,Q4,890000.0,370000.0
36,2017,Q1,710000.0,427500.0
37,2017,Q2,720000.0,437500.0
38,2017,Q3,810000.0,427500.0
39,2017,Q4,980000.0,427500.0
40,2018,Q1,1070000.0,427500.0
41,2018,Q2,630000.0,427500.0
42,2018,Q3,670000.0,427500.0
43,2018,Q4,880000.0,427500.0
44,2019,Q1,1170000.0,427500.0
45,2019,Q2,590000.0,427500.0
46,2019,Q3,590000.0,427500.0
47,2019,Q4,750000.0,427500.0
48,2020,Q1,1270000.0,370000.0
49,2020,Q2,447000.0,360000.0
50,2020,Q3,530000.0,360000.0
51,2020,Q4,1090000.0,360000.0
52,2021,Q1,1180000.0,360000.0
53,2021,Q2,510000.0,360000.0
54,2021,Q3,410000.0,360000.0
55,2021,Q4,430000.0,360000.0
56,2022,Q1,880000.0,360000.0
57,2022,Q2,400000.0,360000.0
58,2022,Q3,540000.0,360000.0
59,2022,Q4,540000.0,360000.0
60,2023,Q1,1040000.0,360000.0
61,2023,Q2,490000.0,360000.0
62,2023,Q3,480000.0,360000.0
63,2023,Q4,0.0,60000.0
