,year,period,expenses,income
0,2011,Q2,1134972.0,10000.0
1,2011,Q3,541667.0,140000.0
2,2011,Q4,1975636.76,170000.0
3,2012,Q1,533953.0,140000.0
4,2012,Q2,1185188.0,150000.0
5,2012,Q3,1064973.0,170000.0
6,2012,Q4,1585116.0,170000.0
7,2013,Q1,1180995.0,180000.0
8,2013,Q2,1278782.0,200000.0
9,2013,Q3,1323133.0,250000.0
10,2013,Q4,1527845.0,230000.0
11,2014,Q1,731963.0,230000.0
12,2014,Q2,1622387.0,266250.0
13,2014,Q3,1330045.0,310000.0
14,2014,Q4,1880200.0,248125.0
15,2015,Q1,962726.0,240000.0
16,2015,Q2,1489562.0,260000.0
17,2015,Q3,1269252.0,260000.0
18,2015,Q4,1126877.0,230000.0
19,2016,Q1,1358011.0,280000.0
20,2016,Q2,1458279.0,280000.0
21,2016,Q3,1064932.0,290834.0
22,2016,Q4,5838862.0,290834.0
23,2017,Q1,1004490.0,300000.0
24,2017,Q2,1707934.0,300000.0
25,2017,Q3,944556.0,285417.0
26,2017,Q4,1124273.0,285417.0
27,2018,Q1,1004703.0,330417.0
28,2018,Q2,1469169.0,310000.0
29,2018,Q3,1230081.0,310000.0
30,2018,Q4,1325624.0,310000.0
31,2019,Q1,1097455.0,290000.0
32,2019,Q2,1362693.0,290000.0
33,2019,Q3,1720413.0,281000.0
34,2019,Q4,2326071.0,281000.0
35,2020,Q1,824239.0,281000.0
36,2020,Q2,1230023.0,311000.0
37,2020,Q3,1167245.0,336000.0
38,2020,Q4,1296047.0,316000.0
39,2021,Q1,1340000.0,316000.0
40,2021,Q2,1130000.0,316000.0
41,2021,Q3,1140000.0,271000.0
42,2021,Q4,1100000.0,271000.0
43,2022,Q1,1460000.0,201000.0
44,2022,Q2,1140000.0,201000.0
45,2022,Q3,1055000.0,201000.0
46,2022,Q4,2133876.0,181000.0
47,2023,Q1,1571575.0,181000.0
48,2023,Q2,1168286.0,181000.0
49,2023,Q3,1115468.0,181000.0
50,2023,Q4,0.0,21000.0
