,year,period,expenses,income
0,2008,Q1,0,50000
1,2008,Q2,0,50000
2,2008,Q3,0,50000
3,2008,Q4,0,50000
4,2009,Q1,0,50000
5,2009,Q2,0,50000
6,2009,Q3,0,50000
7,2009,Q4,0,50000
8,2010,Q1,0,90000
9,2010,Q2,0,80000
10,2010,Q3,0,60000
11,2010,Q4,0,70000
12,2011,Q1,0,90000
13,2011,Q2,0,80000
14,2011,Q3,0,70000
15,2011,Q4,0,70000
16,2012,Q1,0,70000
17,2012,Q2,0,80000
18,2012,Q3,0,80000
19,2012,Q4,0,90000
20,2013,Q1,0,80000
21,2013,Q2,0,90000
22,2013,Q3,0,80000
23,2013,Q4,0,90000
24,2014,Q1,0,70000
25,2014,Q2,0,80000
26,2014,Q3,0,90000
27,2014,Q4,0,80000
28,2015,Q1,0,70000
29,2015,Q2,0,70000
30,2015,Q3,0,70000
31,2015,Q4,0,50000
32,2016,Q1,0,50000
33,2016,Q2,0,50000
34,2016,Q3,0,50000
35,2016,Q4,0,50000
36,2017,Q1,0,50000
37,2017,Q2,0,50000
38,2017,Q3,0,50000
39,2017,Q4,0,100000
40,2018,Q1,0,100000
41,2018,Q2,0,100000
42,2018,Q3,0,100000
43,2018,Q4,0,100000
44,2019,Q1,0,100000
45,2019,Q2,0,170000
46,2019,Q3,0,80000
47,2019,Q4,0,120000
48,2020,Q1,0,120000
49,2020,Q2,0,120000
50,2020,Q3,0,40000
51,2020,Q4,0,80000
52,2021,Q1,0,190000
53,2021,Q2,0,190000
54,2021,Q3,0,190000
55,2021,Q4,0,190000
56,2022,Q1,0,210000
57,2022,Q2,0,150000
58,2022,Q3,0,150000
59,2022,Q4,0,150000
60,2023,Q1,0,160000
61,2023,Q2,0,170000
62,2023,Q3,0,180000
63,2023,Q4,0,40000
