,year,period,expenses,income
0,2015,Q3,0,50000
1,2015,Q4,0,170000
2,2016,Q1,0,240000
3,2016,Q2,0,190000
4,2016,Q3,0,190000
5,2016,Q4,0,230000
6,2017,Q1,0,140000
7,2017,Q2,0,170000
8,2017,Q3,0,200000
9,2017,Q4,0,220000
10,2018,Q1,0,210000
11,2018,Q2,0,210000
12,2018,Q3,0,190000
13,2018,Q4,0,210000
14,2019,Q1,0,210000
15,2019,Q2,0,210000
16,2019,Q3,0,190000
17,2019,Q4,0,200000
18,2020,Q1,0,180000
19,2020,Q2,0,200000
20,2020,Q3,0,200000
21,2020,Q4,0,200000
22,2021,Q1,0,210000
23,2021,Q2,0,200000
24,2021,Q3,0,200000
25,2021,Q4,0,200000
26,2022,Q1,0,200000
27,2022,Q2,0,250000
28,2022,Q3,0,250000
29,2022,Q4,0,150000
30,2023,Q1,0,180000
31,2023,Q2,0,150000
32,2023,Q3,0,180000
33,2023,Q4,0,30000
