,year,period,expenses,income
0,2014,Q2,137000.0,0.0
1,2014,Q3,177400.0,20000.0
2,2014,Q4,271766.0,20000.0
3,2015,Q1,279840.0,40000.0
4,2015,Q2,279882.0,60000.0
5,2015,Q3,334900.0,60000.0
6,2015,Q4,332804.0,60000.0
7,2016,Q1,347328.0,80000.0
8,2016,Q2,347434.0,80000.0
9,2016,Q3,346021.0,90000.0
10,2016,Q4,343829.0,130000.0
11,2017,Q1,390829.0,180000.0
12,2017,Q2,341255.0,180000.0
13,2017,Q3,346720.0,180000.0
14,2017,Q4,346720.0,180000.0
15,2018,Q1,302105.0,170000.0
16,2018,Q2,285051.0,160000.0
17,2018,Q3,340505.0,160000.0
18,2018,Q4,340104.0,170000.0
19,2019,Q1,384799.0,190000.0
20,2019,Q2,427114.0,200000.0
21,2019,Q3,410379.0,200000.0
22,2019,Q4,411460.0,190000.0
23,2020,Q1,372544.0,150000.0
24,2020,Q2,433343.0,220000.0
25,2020,Q3,438900.0,250000.0
26,2020,Q4,433900.0,270000.0
27,2021,Q1,493105.0,290000.0
28,2021,Q2,485605.0,220000.0
29,2021,Q3,485600.0,260000.0
30,2021,Q4,485605.0,260000.0
31,2022,Q1,577506.0,260000.0
32,2022,Q2,582506.0,210000.0
33,2022,Q3,587972.0,250000.0
34,2022,Q4,590506.0,250000.0
35,2023,Q1,573085.0,230000.0
36,2023,Q2,551219.0,230000.0
37,2023,Q3,551197.0,230000.0
38,2023,Q4,0.0,30000.0
