,year,period,expenses,income
0,2008,Q1,763347.0,275000.0
1,2008,Q2,1094143.0,325000.0
2,2008,Q3,1090000.0,280000.0
3,2008,Q4,900000.0,230000.0
4,2009,Q1,760000.0,180000.0
5,2009,Q2,710000.0,130000.0
6,2009,Q3,790000.0,130000.0
7,2009,Q4,818901.0,200000.0
8,2010,Q1,940000.0,240000.0
9,2010,Q2,1370000.0,240000.0
10,2010,Q3,1290000.0,240000.0
11,2010,Q4,1140000.0,250000.0
12,2011,Q1,1220000.0,300000.0
13,2011,Q2,960000.0,310000.0
14,2011,Q3,1120000.0,300000.0
15,2011,Q4,1151700.0,310000.0
16,2012,Q1,1184600.0,310000.0
17,2012,Q2,1072450.0,280000.0
18,2012,Q3,1200000.0,320000.0
19,2012,Q4,1085000.0,290000.0
20,2013,Q1,1170000.0,280000.0
21,2013,Q2,1350000.0,280000.0
22,2013,Q3,1260000.0,250000.0
23,2013,Q4,1030000.0,260000.0
24,2014,Q1,1214700.0,260000.0
25,2014,Q2,1155000.0,230000.0
26,2014,Q3,1016930.0,230000.0
27,2014,Q4,1010000.0,230000.0
28,2015,Q1,1150000.0,260000.0
29,2015,Q2,1090000.0,260000.0
30,2015,Q3,1018000.0,260000.0
31,2015,Q4,1100000.0,260000.0
32,2016,Q1,1150000.0,260000.0
33,2016,Q2,1110000.0,260000.0
34,2016,Q3,1100000.0,260000.0
35,2016,Q4,1010000.0,260000.0
36,2017,Q1,1125000.0,245000.0
37,2017,Q2,1100000.0,250000.0
38,2017,Q3,1330000.0,250000.0
39,2017,Q4,1205000.0,260000.0
40,2018,Q1,1085000.0,260000.0
41,2018,Q2,1130000.0,260000.0
42,2018,Q3,1060000.0,260000.0
43,2018,Q4,1025000.0,260000.0
44,2019,Q1,1112000.0,270000.0
45,2019,Q2,1099000.0,270000.0
46,2019,Q3,1020000.0,270000.0
47,2019,Q4,800000.0,240000.0
48,2020,Q1,1100534.0,240000.0
49,2020,Q2,1020000.0,240000.0
50,2020,Q3,1000000.0,240000.0
51,2020,Q4,820000.0,240000.0
52,2021,Q1,1100000.0,240000.0
53,2021,Q2,1100000.0,280000.0
54,2021,Q3,1260000.0,300000.0
55,2021,Q4,1100000.0,300000.0
56,2022,Q1,1330000.0,320000.0
57,2022,Q2,960000.0,320000.0
58,2022,Q3,970000.0,320000.0
59,2022,Q4,1007000.0,320000.0
60,2023,Q1,930000.0,320000.0
61,2023,Q2,965000.0,350000.0
62,2023,Q3,915000.0,340000.0
63,2023,Q4,0.0,280000.0
