,year,period,expenses,income
0,2008,Q1,599789.0,105000.0
1,2008,Q2,530000.0,155000.0
2,2008,Q3,520000.0,170000.0
3,2008,Q4,590000.0,180000.0
4,2009,Q1,902000.0,130000.0
5,2009,Q2,927000.0,190000.0
6,2009,Q3,1210260.0,360000.0
7,2009,Q4,1130000.0,370000.0
8,2010,Q1,1264440.0,340000.0
9,2010,Q2,1020000.0,430000.0
10,2010,Q3,1010000.0,450000.0
11,2010,Q4,1060000.0,500000.0
12,2011,Q1,1185170.0,420000.0
13,2011,Q2,1168120.0,420000.0
14,2011,Q3,1058000.0,390000.0
15,2011,Q4,1114000.0,480000.0
16,2012,Q1,1232000.0,400000.0
17,2012,Q2,1088000.0,390000.0
18,2012,Q3,1230000.0,440000.0
19,2012,Q4,1227000.0,430000.0
20,2013,Q1,1352480.0,470000.0
21,2013,Q2,1060000.0,720000.0
22,2013,Q3,1377270.0,530000.0
23,2013,Q4,1706000.0,510000.0
24,2014,Q1,1453000.0,470000.0
25,2014,Q2,1089000.0,500000.0
26,2014,Q3,1070000.0,430000.0
27,2014,Q4,1190000.0,445000.0
28,2015,Q1,1170000.0,590000.0
29,2015,Q2,1290000.0,430000.0
30,2015,Q3,1060000.0,430000.0
31,2015,Q4,1032831.0,470000.0
32,2016,Q1,1229174.0,500000.0
33,2016,Q2,1069461.0,500000.0
34,2016,Q3,870925.0,550000.0
35,2016,Q4,1048302.0,560000.0
36,2017,Q1,996960.0,540000.0
37,2017,Q2,925000.0,400000.0
38,2017,Q3,890000.0,460000.0
39,2017,Q4,915000.0,480000.0
40,2018,Q1,1020000.0,430000.0
41,2018,Q2,1020000.0,430000.0
42,2018,Q3,1030000.0,590000.0
43,2018,Q4,990000.0,430000.0
44,2019,Q1,1380000.0,370000.0
45,2019,Q2,1370000.0,490000.0
46,2019,Q3,1200000.0,450000.0
47,2019,Q4,1115000.0,430000.0
48,2020,Q1,1010000.0,380000.0
49,2020,Q2,990000.0,380000.0
50,2020,Q3,730000.0,375000.0
51,2020,Q4,870000.0,375000.0
52,2021,Q1,1050000.0,325000.0
53,2021,Q2,1060000.0,315000.0
54,2021,Q3,102000.0,340000.0
55,2021,Q4,980000.0,310000.0
56,2022,Q1,1430000.0,420000.0
57,2022,Q2,1750000.0,420000.0
58,2022,Q3,2000000.0,460000.0
59,2022,Q4,1900000.0,345000.0
60,2023,Q1,1620000.0,340000.0
61,2023,Q2,1730000.0,335000.0
62,2023,Q3,1690000.0,335000.0
63,2023,Q4,1820000.0,60000.0
