,year,period,expenses,income
0,2008,Q1,0,210000
1,2008,Q2,0,210000
2,2008,Q3,0,270000
3,2008,Q4,0,310000
4,2009,Q1,0,300000
5,2009,Q2,0,295000
6,2009,Q3,0,315000
7,2009,Q4,0,335000
8,2010,Q1,0,400000
9,2010,Q2,0,330000
10,2010,Q3,0,330000
11,2010,Q4,0,330000
12,2011,Q1,0,350000
13,2011,Q2,0,350000
14,2011,Q3,0,300000
15,2011,Q4,0,290000
16,2012,Q1,0,320000
17,2012,Q2,0,320000
18,2012,Q3,0,340000
19,2012,Q4,0,350000
20,2013,Q1,0,300000
21,2013,Q2,0,350000
22,2013,Q3,0,300000
23,2013,Q4,0,290000
24,2014,Q1,0,300000
25,2014,Q2,0,300000
26,2014,Q3,0,260000
27,2014,Q4,0,240000
28,2015,Q1,0,230000
29,2015,Q2,0,260000
30,2015,Q3,0,260000
31,2015,Q4,0,260000
32,2016,Q1,0,260000
33,2016,Q2,0,260000
34,2016,Q3,0,260000
35,2016,Q4,0,260000
36,2017,Q1,0,260000
37,2017,Q2,0,260000
38,2017,Q3,0,260000
39,2017,Q4,0,260000
40,2018,Q1,0,260000
41,2018,Q2,0,260000
42,2018,Q3,0,260000
43,2018,Q4,0,260000
44,2019,Q1,0,260000
45,2019,Q2,0,260000
46,2019,Q3,0,260000
47,2019,Q4,0,260000
48,2020,Q1,0,260000
49,2020,Q2,0,320000
50,2020,Q3,0,240000
51,2020,Q4,0,240000
52,2021,Q1,0,110000
53,2021,Q2,0,60000
54,2021,Q3,0,10000
55,2023,Q1,0,40000
56,2023,Q2,0,40000
57,2023,Q3,0,60000
58,2023,Q4,0,120000
