,year,period,expenses,income
0,2008,Q1,90000.0,305500.0
1,2008,Q2,1080000.0,266000.0
2,2008,Q3,1780000.0,246000.0
3,2008,Q4,1100000.0,188500.0
4,2009,Q1,1310000.0,146000.0
5,2009,Q2,1760000.0,157000.0
6,2009,Q3,1240000.0,181250.0
7,2009,Q4,1860000.0,285000.0
8,2010,Q1,1510000.0,270000.0
9,2010,Q2,1520000.0,316500.0
10,2010,Q3,2740000.0,267500.0
11,2010,Q4,1640000.0,430000.0
12,2011,Q1,1750000.0,430000.0
13,2011,Q2,1600000.0,380000.0
14,2011,Q3,2450000.0,340000.0
15,2011,Q4,1820000.0,370000.0
16,2012,Q1,1920000.0,340000.0
17,2012,Q2,1540000.0,355000.0
18,2012,Q3,1440000.0,360000.0
19,2012,Q4,0.0,365000.0
20,2013,Q1,1220000.0,365000.0
21,2013,Q2,0.0,425000.0
22,2013,Q3,1430000.0,380000.0
23,2013,Q4,1420000.0,370000.0
24,2014,Q1,1590000.0,390000.0
25,2014,Q2,1550000.0,310000.0
26,2014,Q3,1590000.0,345000.0
27,2014,Q4,1520000.0,210000.0
28,2015,Q1,970000.0,270000.0
29,2015,Q2,840000.0,240000.0
30,2015,Q3,870000.0,270000.0
31,2015,Q4,910000.0,240000.0
32,2016,Q1,820000.0,210000.0
33,2016,Q2,780000.0,200000.0
34,2016,Q3,650000.0,190000.0
35,2016,Q4,0.0,90000.0
36,2017,Q1,710000.0,260000.0
37,2017,Q2,760000.0,240000.0
38,2017,Q3,740000.0,290000.0
39,2017,Q4,780000.0,280000.0
40,2018,Q1,730000.0,270000.0
41,2018,Q2,830000.0,260000.0
42,2018,Q3,730000.0,250000.0
43,2018,Q4,690000.0,270000.0
44,2019,Q1,700000.0,270000.0
45,2019,Q2,760000.0,270000.0
46,2019,Q3,680000.0,220000.0
47,2019,Q4,670000.0,200000.0
48,2020,Q1,710000.0,280000.0
49,2020,Q2,750000.0,320000.0
50,2020,Q3,690000.0,320000.0
51,2020,Q4,660000.0,330000.0
52,2021,Q1,670000.0,340000.0
53,2021,Q2,700000.0,320000.0
54,2021,Q3,670000.0,320000.0
55,2021,Q4,610000.0,320000.0
56,2022,Q1,690000.0,320000.0
57,2022,Q2,670000.0,320000.0
58,2022,Q3,770000.0,320000.0
59,2022,Q4,700000.0,320000.0
60,2023,Q1,840000.0,340000.0
61,2023,Q2,810000.0,340000.0
62,2023,Q3,780000.0,340000.0
63,2023,Q4,0.0,130000.0
