,year,period,expenses,income
0,2008,Q1,7560000.0,765000.0
1,2008,Q2,4100000.0,745000.0
2,2008,Q3,4280000.0,745000.0
3,2008,Q4,3170000.0,695000.0
4,2009,Q1,6350000.0,636000.0
5,2009,Q2,3280000.0,675000.0
6,2009,Q3,3100000.0,580000.0
7,2009,Q4,3160000.0,591500.0
8,2010,Q1,3450000.0,500500.0
9,2010,Q2,3200000.0,597500.0
10,2010,Q3,3190000.0,579000.0
11,2010,Q4,2830000.0,579000.0
12,2011,Q1,3160000.0,576000.0
13,2011,Q2,3920000.0,627500.0
14,2011,Q3,3870000.0,551500.0
15,2011,Q4,4010000.0,594000.0
16,2012,Q1,3960000.0,613000.0
17,2012,Q2,3940000.0,622000.0
18,2012,Q3,3560000.0,558000.0
19,2012,Q4,3600000.0,662100.0
20,2013,Q1,3710000.0,525300.0
21,2013,Q2,3880000.0,689100.0
22,2013,Q3,3460000.0,549300.0
23,2013,Q4,3350000.0,565300.0
24,2014,Q1,3370000.0,512000.0
25,2014,Q2,3760000.0,664800.0
26,2014,Q3,3490000.0,565300.0
27,2014,Q4,3740000.0,550000.0
28,2015,Q1,3600000.0,489366.0
29,2015,Q2,3520000.0,571300.0
30,2015,Q3,3450000.0,495300.0
31,2015,Q4,3120000.0,538800.0
32,2016,Q1,3650000.0,510300.0
33,2016,Q2,3490000.0,645300.0
34,2016,Q3,3170000.0,583300.0
35,2016,Q4,3210000.0,548300.0
36,2017,Q1,3530000.0,543800.0
37,2017,Q2,3850000.0,591300.0
38,2017,Q3,3320000.0,447500.0
39,2017,Q4,3720000.0,367500.0
40,2018,Q1,3450000.0,350000.0
41,2018,Q2,3300000.0,490000.0
42,2018,Q3,3280000.0,390000.0
43,2018,Q4,3060000.0,420000.0
44,2019,Q1,3830000.0,425000.0
45,2019,Q2,3090000.0,450000.0
46,2019,Q3,2860000.0,500000.0
47,2019,Q4,3140000.0,485000.0
48,2020,Q1,3980000.0,475000.0
49,2020,Q2,3060000.0,455000.0
50,2020,Q3,2960000.0,450000.0
51,2020,Q4,2860000.0,490000.0
52,2021,Q1,3780000.0,490000.0
53,2021,Q2,3630000.0,540000.0
54,2021,Q3,3540000.0,560000.0
55,2021,Q4,3330000.0,520000.0
56,2022,Q1,3290000.0,500000.0
57,2022,Q2,3410000.0,545000.0
58,2022,Q3,3340000.0,425000.0
59,2022,Q4,3450000.0,415000.0
60,2023,Q1,3250000.0,420000.0
61,2023,Q2,3680000.0,415000.0
62,2023,Q3,3350000.0,389000.0
63,2023,Q4,0.0,80000.0
