,year,period,expenses,income
0,2008,Q1,249726.0,0.0
1,2008,Q2,332633.0,0.0
2,2008,Q3,311730.07,0.0
3,2008,Q4,356794.0,25000.0
4,2009,Q1,313770.0,92700.0
5,2009,Q2,450757.0,92700.0
6,2009,Q3,357581.0,97700.0
7,2009,Q4,323471.0,17700.0
8,2010,Q1,287366.0,17700.0
9,2010,Q2,243095.0,17700.0
10,2010,Q3,256220.0,17700.0
11,2010,Q4,250805.0,17700.0
12,2011,Q1,307687.0,17700.0
13,2011,Q2,308103.0,17700.0
14,2011,Q3,398875.0,17700.0
15,2011,Q4,404312.12,17700.0
16,2012,Q1,1088105.5,34200.0
17,2012,Q2,673022.53,34200.0
18,2012,Q3,641356.48,34200.0
19,2012,Q4,1075000.0,39200.0
20,2013,Q1,1074231.0,39200.0
21,2013,Q2,933300.0,39200.0
22,2013,Q3,797902.0,39200.0
23,2013,Q4,1490000.0,39200.0
24,2014,Q1,1010000.0,0.0
25,2014,Q2,720000.0,15000.0
26,2014,Q3,970000.0,15000.0
27,2014,Q4,1523000.0,15000.0
28,2015,Q1,1171454.0,25000.0
29,2015,Q2,1175000.0,37000.0
30,2015,Q3,1010000.0,65000.0
31,2015,Q4,1790205.0,65000.0
32,2016,Q1,610515.0,65000.0
33,2016,Q2,594400.0,65000.0
34,2016,Q3,620000.0,65000.0
35,2016,Q4,600000.0,65000.0
36,2017,Q1,725000.0,65000.0
37,2017,Q2,725000.0,75000.0
38,2017,Q3,785000.0,75000.0
39,2017,Q4,726000.0,75000.0
40,2018,Q1,590000.0,75000.0
41,2018,Q2,740000.0,50000.0
42,2018,Q3,880000.0,50000.0
43,2018,Q4,880000.0,50000.0
44,2019,Q1,950000.0,50000.0
45,2019,Q2,950000.0,50000.0
46,2019,Q3,950000.0,50000.0
47,2019,Q4,570000.0,50000.0
48,2020,Q1,570000.0,50000.0
49,2020,Q2,570000.0,50000.0
50,2020,Q3,570000.0,50000.0
51,2020,Q4,1040000.0,50000.0
52,2021,Q1,520000.0,20000.0
53,2021,Q2,520000.0,50000.0
54,2021,Q3,520000.0,50000.0
55,2021,Q4,520000.0,50000.0
56,2022,Q1,520000.0,40000.0
57,2022,Q2,520000.0,40000.0
58,2022,Q3,935000.0,40000.0
59,2022,Q4,935000.0,40000.0
60,2023,Q1,940000.0,40000.0
61,2023,Q2,940000.0,40000.0
62,2023,Q3,940000.0,40000.0
63,2023,Q4,0.0,40000.0
