,year,period,expenses,income
0,2009,Q3,182000.0,20000.0
1,2009,Q4,90000.0,50000.0
2,2010,Q1,90000.0,50000.0
3,2010,Q2,80000.0,50000.0
4,2010,Q3,65000.0,50000.0
5,2010,Q4,55000.0,50000.0
6,2011,Q1,55000.0,50000.0
7,2011,Q2,55000.0,50000.0
8,2011,Q3,55000.0,50000.0
9,2011,Q4,55000.0,50000.0
10,2012,Q1,55000.0,50000.0
11,2012,Q2,55000.0,50000.0
12,2012,Q3,55000.0,50000.0
13,2012,Q4,55000.0,50000.0
14,2013,Q1,55000.0,50000.0
15,2013,Q2,55000.0,50000.0
16,2013,Q3,55000.0,50000.0
17,2013,Q4,55000.0,50000.0
18,2014,Q1,55000.0,50000.0
19,2014,Q2,55000.0,50000.0
20,2014,Q3,55000.0,50000.0
21,2014,Q4,55000.0,50000.0
22,2015,Q1,55000.0,50000.0
23,2015,Q2,50000.0,0.0
24,2015,Q3,30000.0,0.0
25,2015,Q4,40000.0,0.0
26,2016,Q1,50000.0,0.0
27,2016,Q2,50000.0,0.0
28,2017,Q4,30000.0,0.0
29,2018,Q1,60000.0,0.0
30,2018,Q2,60000.0,0.0
31,2018,Q3,60000.0,0.0
32,2018,Q4,60000.0,0.0
33,2019,Q1,60000.0,0.0
34,2019,Q2,60000.0,0.0
35,2019,Q3,60000.0,0.0
36,2019,Q4,210000.0,60000.0
37,2020,Q1,330000.0,170000.0
38,2020,Q2,280000.0,160000.0
39,2020,Q3,250000.0,120000.0
40,2020,Q4,230000.0,120000.0
41,2021,Q1,260000.0,160000.0
42,2021,Q2,320000.0,210000.0
43,2021,Q3,350000.0,240000.0
44,2021,Q4,320000.0,240000.0
45,2022,Q1,0.0,220000.0
46,2022,Q2,0.0,190000.0
47,2022,Q3,220000.0,140000.0
48,2022,Q4,310000.0,200000.0
49,2023,Q1,510000.0,280000.0
50,2023,Q2,640000.0,360000.0
51,2023,Q3,610000.0,310000.0
52,2023,Q4,0.0,240000.0
