,year,period,expenses,income
0,2008,Q1,720000.0,635000.0
1,2008,Q2,1100000.0,940000.0
2,2008,Q3,840000.0,715000.0
3,2008,Q4,510000.0,405000.0
4,2009,Q1,620000.0,490000.0
5,2009,Q2,840000.0,760000.0
6,2009,Q3,680000.0,575000.0
7,2009,Q4,960000.0,605000.0
8,2010,Q1,820000.0,490000.0
9,2010,Q2,2330000.0,820000.0
10,2010,Q3,840000.0,520000.0
11,2010,Q4,600000.0,410000.0
12,2011,Q1,930000.0,540000.0
13,2011,Q2,770000.0,370000.0
14,2011,Q3,580000.0,390000.0
15,2011,Q4,750000.0,500000.0
16,2012,Q1,1330000.0,380000.0
17,2012,Q2,560000.0,330000.0
18,2012,Q3,690800.0,400000.0
19,2012,Q4,890000.0,310000.0
20,2013,Q1,630000.0,330000.0
21,2013,Q2,1300000.0,370000.0
22,2013,Q3,1110000.0,350000.0
23,2013,Q4,1050000.0,300000.0
24,2014,Q1,790000.0,430000.0
25,2014,Q2,1235000.0,470000.0
26,2014,Q3,1210000.0,480000.0
27,2014,Q4,760000.0,460000.0
28,2015,Q1,770000.0,540000.0
29,2015,Q2,950000.0,520000.0
30,2015,Q3,1200000.0,460000.0
31,2015,Q4,1210000.0,470000.0
32,2016,Q1,1530000.0,500000.0
33,2016,Q2,930000.0,470000.0
34,2016,Q3,780000.0,390000.0
35,2016,Q4,750000.0,310000.0
36,2017,Q1,940000.0,428750.0
37,2017,Q2,860000.0,468750.0
38,2017,Q3,810000.0,348750.0
39,2017,Q4,650000.0,328750.0
40,2018,Q1,1010000.0,398750.0
41,2018,Q2,770000.0,368750.0
42,2018,Q3,880000.0,358750.0
43,2018,Q4,720000.0,358750.0
44,2019,Q1,720000.0,368750.0
45,2019,Q2,590000.0,318750.0
46,2019,Q3,860000.0,328750.0
47,2019,Q4,630000.0,355750.0
48,2020,Q1,860000.0,424570.12
49,2020,Q2,810000.0,404060.18
50,2020,Q3,580000.0,364060.0
51,2020,Q4,480000.0,275625.0
52,2021,Q1,1100000.0,385625.0
53,2021,Q2,660000.0,420625.0
54,2021,Q3,870000.0,420625.0
55,2021,Q4,730000.0,411250.0
56,2022,Q1,1100000.0,381250.0
57,2022,Q2,1110000.0,421250.0
58,2022,Q3,1030000.0,391250.0
59,2022,Q4,910000.0,341250.0
60,2023,Q1,1150000.0,293750.0
61,2023,Q2,980000.0,298750.0
62,2023,Q3,990000.0,343000.0
63,2023,Q4,0.0,130000.0
