,year,period,expenses,income
0,2011,Q2,0,27000
1,2011,Q3,0,27000
2,2011,Q4,0,27000
3,2012,Q1,0,27000
4,2015,Q1,0,50000
5,2015,Q2,0,50000
6,2015,Q3,0,50000
7,2015,Q4,0,50000
8,2016,Q1,0,50000
9,2016,Q2,0,50000
10,2016,Q3,0,50000
11,2016,Q4,0,50000
12,2017,Q1,0,140000
13,2017,Q2,0,150000
14,2017,Q3,0,140000
15,2017,Q4,0,180000
16,2018,Q1,0,190000
17,2018,Q2,0,190000
18,2018,Q3,0,210000
19,2018,Q4,0,250000
20,2019,Q1,0,250000
21,2019,Q2,0,250000
22,2019,Q3,0,320000
23,2019,Q4,0,370000
24,2020,Q1,0,435000
25,2020,Q2,0,435000
26,2020,Q3,0,435000
27,2020,Q4,0,435000
28,2021,Q1,0,420000
29,2021,Q2,0,420000
30,2021,Q3,0,420000
31,2021,Q4,0,470000
32,2022,Q1,0,440000
33,2022,Q2,0,460000
34,2022,Q3,0,470000
35,2022,Q4,0,465000
36,2023,Q1,0,465000
37,2023,Q2,0,465000
38,2023,Q3,0,453750
39,2023,Q4,0,148750
