,year,period,expenses,income
0,2008,Q1,10000.0,0.0
1,2008,Q2,10000.0,0.0
2,2008,Q3,10000.0,0.0
3,2008,Q4,10000.0,0.0
4,2009,Q1,10000.0,0.0
5,2009,Q3,10000.0,0.0
6,2009,Q4,10000.0,0.0
7,2010,Q1,20000.0,0.0
8,2010,Q2,10000.0,0.0
9,2010,Q3,10000.0,10000.0
10,2010,Q4,20000.0,20000.0
11,2011,Q1,30000.0,40000.0
12,2011,Q2,53000.0,70000.0
13,2011,Q3,504000.0,50000.0
14,2011,Q4,570373.0,80000.0
15,2012,Q1,647852.0,50000.0
16,2012,Q2,556852.0,80000.0
17,2012,Q3,537348.0,50000.0
18,2012,Q4,445455.0,0.0
19,2013,Q1,571713.0,0.0
20,2013,Q2,13537.63,460000.0
21,2013,Q3,1430000.0,10000.0
22,2013,Q4,790000.0,10000.0
23,2014,Q1,820000.0,10000.0
24,2014,Q2,660000.0,20000.0
25,2014,Q3,700000.0,50000.0
26,2014,Q4,1180000.0,20000.0
27,2015,Q1,970000.0,20000.0
28,2015,Q2,490000.0,20000.0
29,2015,Q3,1240000.0,20000.0
30,2015,Q4,870000.0,20000.0
31,2016,Q1,800000.0,30000.0
32,2016,Q2,720000.0,50000.0
33,2016,Q3,730000.0,50000.0
34,2016,Q4,750000.0,50000.0
35,2017,Q1,1370000.0,50000.0
36,2017,Q2,560000.0,80000.0
37,2017,Q3,660000.0,160000.0
38,2017,Q4,780000.0,230000.0
39,2018,Q1,1270000.0,210000.0
40,2018,Q2,770000.0,210000.0
41,2018,Q3,710000.0,200000.0
42,2018,Q4,910000.0,225000.0
43,2019,Q1,1250000.0,230000.0
44,2019,Q2,860000.0,230000.0
45,2019,Q3,940000.0,230000.0
46,2019,Q4,960000.0,230000.0
47,2020,Q1,1140000.0,230000.0
48,2020,Q2,450000.0,160000.0
49,2020,Q3,350000.0,130000.0
50,2020,Q4,700000.0,100000.0
51,2021,Q1,650000.0,100000.0
52,2021,Q2,560000.0,110000.0
53,2021,Q3,820000.0,130000.0
54,2021,Q4,870000.0,80000.0
55,2022,Q1,740000.0,80000.0
56,2022,Q2,920000.0,130000.0
57,2022,Q3,410000.0,130000.0
58,2022,Q4,340000.0,130000.0
59,2023,Q1,590000.0,170000.0
60,2023,Q2,580000.0,190000.0
61,2023,Q3,550000.0,190000.0
62,2023,Q4,0.0,190000.0
