,year,period,expenses,income
0,2008,Q1,1040000.0,120000.0
1,2008,Q2,1170000.0,120000.0
2,2008,Q3,1110000.0,120000.0
3,2008,Q4,1320000.0,120000.0
4,2009,Q1,1500000.0,120000.0
5,2009,Q2,1530000.0,200000.0
6,2009,Q3,1560000.0,220000.0
7,2009,Q4,1820000.0,140000.0
8,2010,Q1,3220000.0,140000.0
9,2010,Q2,842000.0,160000.0
10,2010,Q3,2163510.0,180000.0
11,2010,Q4,1285000.0,195000.0
12,2011,Q1,3555000.0,175000.0
13,2011,Q2,1120000.0,155000.0
14,2011,Q3,2450000.0,165000.0
15,2011,Q4,1120000.0,165000.0
16,2012,Q1,4490000.0,165000.0
17,2012,Q2,1400000.0,185000.0
18,2012,Q3,2430000.0,145000.0
19,2012,Q4,1190000.0,165000.0
20,2013,Q1,4190000.0,185000.0
21,2013,Q2,900000.0,200000.0
22,2013,Q3,1420000.0,200000.0
23,2013,Q4,820000.0,195000.0
24,2014,Q1,2000000.0,190000.0
25,2014,Q2,1170000.0,160000.0
26,2014,Q3,1160000.0,250000.0
27,2014,Q4,460000.0,260000.0
28,2015,Q1,2110000.0,340000.0
29,2015,Q2,1400000.0,360000.0
30,2015,Q3,1490000.0,390000.0
31,2015,Q4,650000.0,370000.0
32,2016,Q1,3260000.0,385000.0
33,2016,Q2,850000.0,345000.0
34,2016,Q3,1390000.0,305000.0
35,2016,Q4,1000000.0,305000.0
36,2017,Q1,1720000.0,325000.0
37,2017,Q2,1970000.0,365000.0
38,2017,Q3,1750000.0,385000.0
39,2017,Q4,790000.0,335000.0
40,2018,Q1,3310000.0,435000.0
41,2018,Q2,830000.0,435000.0
42,2018,Q3,1760000.0,465000.0
43,2018,Q4,900000.0,390000.0
44,2019,Q1,2740000.0,390000.0
45,2019,Q2,2305000.0,430000.0
46,2019,Q3,890000.0,430000.0
47,2019,Q4,1020000.0,360000.0
48,2020,Q1,2170000.0,370000.0
49,2020,Q2,2620000.0,370000.0
50,2020,Q3,980000.0,360000.0
51,2020,Q4,1210000.0,370000.0
52,2021,Q1,3590000.0,270000.0
53,2021,Q2,1220000.0,290000.0
54,2021,Q3,1700000.0,400000.0
55,2021,Q4,1500000.0,380000.0
56,2022,Q1,2120000.0,350000.0
57,2022,Q2,2610000.0,350000.0
58,2022,Q3,1080000.0,400000.0
59,2022,Q4,2490000.0,390000.0
60,2023,Q1,2930000.0,390000.0
61,2023,Q2,2980000.0,390000.0
62,2023,Q3,2130000.0,390000.0
63,2023,Q4,0.0,200000.0
