,year,period,expenses,income
0,2008,Q1,2560000.0,1212500.0
1,2008,Q2,2300000.0,1127500.0
2,2008,Q3,1980000.0,992500.0
3,2008,Q4,2020000.0,812500.0
4,2009,Q1,1650000.0,832500.0
5,2009,Q2,1890000.0,983500.0
6,2009,Q3,1490000.0,893500.0
7,2009,Q4,1690000.0,1003500.0
8,2010,Q1,1720000.0,873500.0
9,2010,Q2,1850000.0,1000000.0
10,2010,Q3,1630000.0,892500.0
11,2010,Q4,1710000.0,860000.0
12,2011,Q1,1720000.0,980000.0
13,2011,Q2,1852000.0,871000.0
14,2011,Q3,1883000.0,960000.0
15,2011,Q4,1880000.0,870000.0
16,2012,Q1,1790000.0,785000.0
17,2012,Q2,2006000.0,790000.0
18,2012,Q3,1860000.0,730000.0
19,2012,Q4,2430000.0,872500.0
20,2013,Q1,2530000.0,997500.0
21,2013,Q2,2960000.0,890000.0
22,2013,Q3,2230000.0,907000.0
23,2013,Q4,2770000.0,960000.0
24,2014,Q1,2080000.0,857000.0
25,2014,Q2,2340000.0,867000.0
26,2014,Q3,1660000.0,725000.0
27,2014,Q4,2250000.0,660000.0
28,2015,Q1,1890000.0,700000.0
29,2015,Q2,2240000.0,740000.0
30,2015,Q3,1890000.0,790000.0
31,2015,Q4,2470000.0,760000.0
32,2016,Q1,2020000.0,770000.0
33,2016,Q2,2070000.0,840000.0
34,2016,Q3,2220000.0,820000.0
35,2016,Q4,2400000.0,760000.0
36,2017,Q1,2300000.0,735000.0
37,2017,Q2,2070000.0,805000.0
38,2017,Q3,1950000.0,775000.0
39,2017,Q4,2180000.0,750000.0
40,2018,Q1,2300000.0,860000.0
41,2018,Q2,2640000.0,730000.0
42,2018,Q3,2240000.0,720000.0
43,2018,Q4,2340000.0,700000.0
44,2019,Q1,2790000.0,565000.0
45,2019,Q2,2740000.0,555000.0
46,2019,Q3,2250000.0,580000.0
47,2019,Q4,2390000.0,520000.0
48,2020,Q1,2394000.0,530000.0
49,2020,Q2,2910000.0,520000.0
50,2020,Q3,1880000.0,530000.0
51,2020,Q4,2190000.0,520000.0
52,2021,Q1,2590000.0,545000.0
53,2021,Q2,2470000.0,520000.0
54,2021,Q3,2630000.0,540000.0
55,2021,Q4,2470000.0,530000.0
56,2022,Q1,2540000.0,450000.0
57,2022,Q2,2715263.0,390000.0
58,2022,Q3,2493687.0,400000.0
59,2022,Q4,2730976.0,390000.0
60,2023,Q1,423847.0,400000.0
61,2023,Q2,2496255.0,390000.0
62,2023,Q3,2529514.0,420000.0
63,2023,Q4,196817.0,200000.0
