,year,period,expenses,income
0,2008,Q1,310000.0,100000.0
1,2008,Q2,350000.0,100000.0
2,2008,Q3,420000.0,0.0
3,2008,Q4,270000.0,0.0
4,2009,Q1,390000.0,70000.0
5,2009,Q2,280000.0,30000.0
6,2009,Q3,260000.0,20000.0
7,2009,Q4,260000.0,10000.0
8,2010,Q1,280000.0,20000.0
9,2010,Q2,260000.0,10000.0
10,2010,Q3,0.0,20000.0
11,2011,Q2,0.0,20000.0
12,2011,Q3,0.0,50000.0
13,2011,Q4,0.0,10000.0
14,2012,Q2,190000.0,0.0
15,2012,Q3,210000.0,10000.0
16,2012,Q4,180000.0,0.0
17,2013,Q1,220000.0,20000.0
18,2013,Q2,200000.0,10000.0
19,2013,Q3,260000.0,60000.0
20,2013,Q4,280000.0,50000.0
21,2014,Q1,270000.0,50000.0
22,2014,Q2,280000.0,50000.0
23,2014,Q3,270000.0,50000.0
24,2014,Q4,260000.0,50000.0
25,2015,Q1,320000.0,50000.0
26,2015,Q2,320000.0,50000.0
27,2015,Q3,380000.0,50000.0
28,2015,Q4,440000.0,60000.0
29,2016,Q1,340000.0,50000.0
30,2016,Q2,310000.0,50000.0
31,2016,Q3,360000.0,50000.0
32,2016,Q4,340000.0,50000.0
33,2017,Q1,310000.0,90000.0
34,2017,Q2,300000.0,90000.0
35,2017,Q3,320000.0,90000.0
36,2017,Q4,550000.0,90000.0
37,2018,Q1,270000.0,90000.0
38,2018,Q2,300000.0,90000.0
39,2018,Q3,320000.0,100000.0
40,2018,Q4,450000.0,100000.0
41,2019,Q1,450000.0,170000.0
42,2019,Q2,450000.0,110000.0
43,2019,Q3,450000.0,100000.0
44,2019,Q4,450000.0,110000.0
45,2020,Q1,230000.0,100000.0
46,2020,Q2,480000.0,90000.0
47,2020,Q3,300000.0,120000.0
48,2020,Q4,270000.0,100000.0
49,2021,Q1,330000.0,100000.0
50,2021,Q2,310000.0,170000.0
51,2021,Q3,510000.0,180000.0
52,2021,Q4,770000.0,290000.0
53,2022,Q1,870000.0,310000.0
54,2022,Q2,1010000.0,390000.0
55,2022,Q3,1320000.0,390000.0
56,2022,Q4,990000.0,250000.0
57,2023,Q1,1050000.0,215000.0
58,2023,Q2,670000.0,265000.0
59,2023,Q3,540000.0,190000.0
60,2023,Q4,470000.0,70000.0
