,year,period,expenses,income
0,2017,Q1,0.0,10000.0
1,2017,Q2,0.0,60000.0
2,2017,Q3,0.0,60000.0
3,2017,Q4,0.0,60000.0
4,2018,Q1,0.0,60000.0
5,2018,Q2,0.0,60000.0
6,2018,Q3,0.0,60000.0
7,2018,Q4,0.0,60000.0
8,2019,Q1,0.0,60000.0
9,2019,Q2,0.0,60000.0
10,2019,Q3,40000.0,60000.0
11,2019,Q4,640000.0,60000.0
12,2020,Q1,440000.0,60000.0
13,2020,Q2,440000.0,60000.0
14,2020,Q3,480000.0,60000.0
15,2020,Q4,820000.0,110000.0
16,2021,Q1,590000.0,160000.0
17,2021,Q2,700000.0,190000.0
18,2021,Q3,720000.0,190000.0
19,2021,Q4,730000.0,200000.0
20,2022,Q1,900000.0,240000.0
21,2022,Q2,790000.0,240000.0
22,2022,Q3,790000.0,240000.0
23,2022,Q4,700000.0,240000.0
24,2023,Q1,780000.0,240000.0
25,2023,Q2,780000.0,240000.0
26,2023,Q3,780000.0,240000.0
27,2023,Q4,0.0,130000.0
