,year,period,expenses,income
0,2008,Q1,175000.0,40000.0
1,2008,Q2,240000.0,140000.0
2,2008,Q3,296860.0,100000.0
3,2008,Q4,203345.0,80000.0
4,2009,Q1,230766.0,60000.0
5,2009,Q2,231344.0,140000.0
6,2009,Q3,242927.0,160000.0
7,2009,Q4,509233.0,220000.0
8,2010,Q1,653830.0,255000.0
9,2010,Q2,716372.0,320000.0
10,2010,Q3,483809.0,175000.0
11,2010,Q4,525984.0,185000.0
12,2011,Q1,429007.0,180000.0
13,2011,Q2,492260.0,290000.0
14,2011,Q3,333549.0,140000.0
15,2011,Q4,332852.0,140000.0
16,2012,Q1,320092.0,150000.0
17,2012,Q2,312673.0,170000.0
18,2012,Q3,356715.0,170000.0
19,2012,Q4,399637.0,170000.0
20,2013,Q1,352627.0,170000.0
21,2013,Q2,357680.0,170000.0
22,2013,Q3,373989.0,170000.0
23,2013,Q4,432094.0,150000.0
24,2014,Q1,393094.0,210000.0
25,2014,Q2,383094.0,150000.0
26,2014,Q3,383644.0,150000.0
27,2014,Q4,353094.0,150000.0
28,2015,Q1,373594.0,150000.0
29,2015,Q2,412094.0,180000.0
30,2015,Q3,450000.0,180000.0
31,2015,Q4,540000.0,160000.0
32,2016,Q1,410000.0,180000.0
33,2016,Q2,360000.0,140000.0
34,2016,Q3,370000.0,180000.0
35,2016,Q4,390000.0,180000.0
36,2017,Q1,350000.0,180000.0
37,2017,Q2,300000.0,180000.0
38,2017,Q3,320000.0,180000.0
39,2017,Q4,350000.0,190000.0
40,2018,Q1,430000.0,190000.0
41,2018,Q2,310000.0,190000.0
42,2018,Q3,290000.0,190000.0
43,2018,Q4,350000.0,190000.0
44,2019,Q1,385000.0,190000.0
45,2019,Q2,300000.0,190000.0
46,2019,Q3,325000.0,190000.0
47,2019,Q4,320000.0,190000.0
48,2020,Q1,350000.0,220000.0
49,2020,Q2,370000.0,220000.0
50,2020,Q3,380000.0,220000.0
51,2020,Q4,430000.0,220000.0
52,2021,Q1,505000.0,220000.0
53,2021,Q2,380000.0,220000.0
54,2021,Q3,390000.0,220000.0
55,2021,Q4,410000.0,220000.0
56,2022,Q1,470000.0,220000.0
57,2022,Q2,420000.0,220000.0
58,2022,Q3,595000.0,220000.0
59,2022,Q4,430000.0,220000.0
60,2023,Q1,565000.0,220000.0
61,2023,Q2,420000.0,220000.0
62,2023,Q3,420000.0,280000.0
63,2023,Q4,525000.0,0.0
