,year,period,expenses,income
0,2008,Q1,3313252.0,175000.0
1,2008,Q2,8320000.0,280000.0
2,2008,Q3,4740000.0,329000.0
3,2008,Q4,4290000.0,205000.0
4,2009,Q1,2570000.0,345000.0
5,2009,Q2,3560000.0,355000.0
6,2009,Q3,3620000.0,355000.0
7,2009,Q4,5430000.0,385000.0
8,2010,Q1,4130000.0,406000.0
9,2010,Q2,4930000.0,356000.0
10,2010,Q3,3020000.0,425000.0
11,2010,Q4,3660000.0,495000.0
12,2011,Q1,2690000.0,380000.0
13,2011,Q2,2970000.0,430000.0
14,2011,Q3,2810000.0,450000.0
15,2011,Q4,4300000.0,400000.0
16,2012,Q1,4070000.0,370000.0
17,2012,Q2,4550000.0,360000.0
18,2012,Q3,4270000.0,350000.0
19,2012,Q4,4510000.0,270000.0
20,2013,Q1,5820000.0,290000.0
21,2013,Q2,6960000.0,290000.0
22,2013,Q3,3800000.0,280000.0
23,2013,Q4,7340000.0,280000.0
24,2014,Q1,3536960.0,250000.0
25,2014,Q2,2470000.0,220000.0
26,2014,Q3,2430000.0,240000.0
27,2014,Q4,1750000.0,265000.0
28,2015,Q1,2240000.0,287500.0
29,2015,Q2,4590000.0,297500.0
30,2015,Q3,2030000.0,257500.0
31,2015,Q4,2160000.0,267500.0
32,2016,Q1,4740000.0,267500.0
33,2016,Q2,2200000.0,267500.0
34,2016,Q3,2480000.0,267500.0
35,2016,Q4,2630000.0,227500.0
36,2017,Q1,4300000.0,237500.0
37,2017,Q2,2520000.0,237500.0
38,2017,Q3,2380000.0,237500.0
39,2017,Q4,2740000.0,237500.0
40,2018,Q1,4400000.0,247500.0
41,2018,Q2,2300000.0,237500.0
42,2018,Q3,2500000.0,247500.0
43,2018,Q4,2710000.0,197500.0
44,2019,Q1,5580000.0,207500.0
45,2019,Q2,2660000.0,207500.0
46,2019,Q3,2570000.0,207500.0
47,2019,Q4,2510000.0,207500.0
48,2020,Q1,4800000.0,207500.0
49,2020,Q2,2340000.0,147500.0
50,2020,Q3,2020000.0,147500.0
51,2020,Q4,2590000.0,147500.0
52,2021,Q1,4540000.0,147500.0
53,2021,Q2,2020000.0,117500.0
54,2021,Q3,1810000.0,117500.0
55,2021,Q4,1980000.0,117500.0
56,2022,Q1,4420000.0,117500.0
57,2022,Q2,2090000.0,117500.0
58,2022,Q3,1740000.0,117500.0
59,2022,Q4,2060000.0,117500.0
60,2023,Q1,4260000.0,117500.0
61,2023,Q2,1740000.0,117500.0
62,2023,Q3,2110000.0,117500.0
63,2023,Q4,0.0,67500.0
