,year,period,expenses,income
0,2008,Q1,1250000.0,548000.0
1,2008,Q2,1366000.0,397500.0
2,2008,Q3,1636000.0,595000.0
3,2008,Q4,1075000.0,400000.0
4,2009,Q1,1435000.0,517500.0
5,2009,Q2,1420696.0,627500.0
6,2009,Q3,1363309.0,557500.0
7,2009,Q4,1098032.0,572500.0
8,2010,Q1,1130000.0,590000.0
9,2010,Q2,1150000.0,645000.0
10,2010,Q3,1370000.0,782500.0
11,2010,Q4,1200000.0,665000.0
12,2011,Q1,1130000.0,718200.0
13,2011,Q2,1790000.0,905000.0
14,2011,Q3,1260000.0,835000.0
15,2011,Q4,1510000.0,655000.0
16,2012,Q1,1100000.0,715000.0
17,2012,Q2,1470000.0,843000.0
18,2012,Q3,1410000.0,685000.0
19,2012,Q4,1780000.0,605000.0
20,2013,Q1,3030000.0,675000.0
21,2013,Q2,1660000.0,695000.0
22,2013,Q3,1360000.0,685000.0
23,2013,Q4,1600000.0,685000.0
24,2014,Q1,1510000.0,695000.0
25,2014,Q2,1460000.0,685000.0
26,2014,Q3,1200000.0,705000.0
27,2014,Q4,1660000.0,615000.0
28,2015,Q1,1290000.0,865000.0
29,2015,Q2,1730000.0,910000.0
30,2015,Q3,2480000.0,1065000.0
31,2015,Q4,1980000.0,1040000.0
32,2016,Q1,1720000.0,1000000.0
33,2016,Q2,1920000.0,970000.0
34,2016,Q3,2010000.0,940000.0
35,2016,Q4,2000000.0,950000.0
36,2017,Q1,2210000.0,975000.0
37,2017,Q2,2790000.0,1030000.0
38,2017,Q3,3820000.0,1040000.0
39,2017,Q4,2550000.0,950000.0
40,2018,Q1,1230000.0,1000000.0
41,2018,Q2,1810000.0,1000000.0
42,2018,Q3,1440000.0,970000.0
43,2018,Q4,1900000.0,950000.0
44,2019,Q1,1340000.0,910000.0
45,2019,Q2,1670000.0,950000.0
46,2019,Q3,1740000.0,950000.0
47,2019,Q4,1910000.0,940000.0
48,2020,Q1,1890000.0,950000.0
49,2020,Q2,1780000.0,930000.0
50,2020,Q3,1870000.0,910000.0
51,2020,Q4,2530000.0,830000.0
52,2021,Q1,1680000.0,950000.0
53,2021,Q2,2440000.0,1130000.0
54,2021,Q3,2920000.0,1130000.0
55,2021,Q4,2070000.0,1150000.0
56,2022,Q1,2290000.0,1300000.0
57,2022,Q2,1970000.0,1300000.0
58,2022,Q3,3110000.0,1250000.0
59,2022,Q4,1330000.0,1270000.0
60,2023,Q1,2470000.0,1250000.0
61,2023,Q2,2480000.0,1320000.0
62,2023,Q3,3230000.0,1280000.0
63,2023,Q4,0.0,645000.0
