,year,period,expenses,income
0,2008,Q1,1224224.0,130000.0
1,2008,Q2,715978.0,80000.0
2,2008,Q3,667104.0,80000.0
3,2008,Q4,675833.0,0.0
4,2009,Q1,570145.0,30000.0
5,2009,Q2,793588.0,70000.0
6,2009,Q3,687088.0,80000.0
7,2009,Q4,714559.0,60000.0
8,2010,Q1,562475.0,80000.0
9,2010,Q2,668504.0,80000.0
10,2010,Q3,680194.0,80000.0
11,2010,Q4,671816.0,80000.0
12,2011,Q1,887023.0,80000.0
13,2011,Q2,750627.0,80000.0
14,2011,Q3,1022804.0,80000.0
15,2011,Q4,1635315.0,80000.0
16,2012,Q1,1579165.0,100000.0
17,2012,Q2,1596062.0,90000.0
18,2012,Q3,1666725.0,80000.0
19,2012,Q4,1877243.0,80000.0
20,2013,Q1,2053508.0,80000.0
21,2013,Q2,1716792.0,80000.0
22,2013,Q3,1797387.0,120000.0
23,2013,Q4,2703639.0,120000.0
24,2014,Q1,1894060.0,120000.0
25,2014,Q2,2040660.0,120000.0
26,2014,Q3,3165933.0,120000.0
27,2014,Q4,2098145.0,120000.0
28,2015,Q1,2061114.0,80000.0
29,2015,Q2,1031401.0,80000.0
30,2015,Q3,1031401.0,80000.0
31,2015,Q4,1259193.0,230000.0
32,2016,Q1,1285997.0,60000.0
33,2016,Q2,2512111.0,0.0
34,2016,Q3,1311997.0,0.0
35,2016,Q4,975796.0,0.0
36,2017,Q1,1329450.0,0.0
37,2017,Q2,950950.0,40000.0
38,2017,Q3,1299384.0,60000.0
39,2017,Q4,2243868.0,60000.0
40,2018,Q1,1327861.0,60000.0
41,2018,Q2,2586312.0,60000.0
42,2018,Q3,1332781.0,60000.0
43,2018,Q4,1350470.0,80000.0
44,2019,Q1,1548354.0,80000.0
45,2019,Q2,1381051.0,90000.0
46,2019,Q3,1933697.0,80000.0
47,2019,Q4,2760000.0,80000.0
48,2020,Q1,2300000.0,80000.0
49,2020,Q2,640000.0,80000.0
50,2020,Q3,880000.0,80000.0
51,2020,Q4,2640000.0,80000.0
52,2021,Q1,1820000.0,80000.0
53,2021,Q2,1850000.0,130000.0
54,2021,Q3,3110000.0,190000.0
55,2021,Q4,4090000.0,190000.0
56,2022,Q1,2780000.0,190000.0
57,2022,Q2,1200000.0,190000.0
58,2022,Q3,2473000.0,205000.0
59,2022,Q4,4021000.0,210000.0
60,2023,Q1,3047000.0,210000.0
61,2023,Q2,2820000.0,290000.0
62,2023,Q3,1950000.0,290000.0
63,2023,Q4,4400000.0,130000.0
