,year,period,expenses,income
0,2008,Q1,274000.0,190000.0
1,2008,Q2,274000.0,180000.0
2,2008,Q3,274000.0,170000.0
3,2008,Q4,274000.0,180000.0
4,2009,Q1,400000.0,150000.0
5,2009,Q2,650000.0,150000.0
6,2009,Q3,1250000.0,240000.0
7,2009,Q4,5014000.0,240000.0
8,2010,Q1,3600000.0,220000.0
9,2010,Q2,1200000.0,260000.0
10,2010,Q3,665800.0,230000.0
11,2010,Q4,879000.0,230000.0
12,2011,Q1,1250000.0,250000.0
13,2011,Q2,610000.0,250000.0
14,2011,Q3,750000.0,250000.0
15,2011,Q4,650000.0,250000.0
16,2012,Q1,1025000.0,260000.0
17,2012,Q2,630075.0,216666.0
18,2012,Q3,599894.0,183333.0
19,2012,Q4,625000.0,250000.0
20,2013,Q1,1360000.0,170000.0
21,2013,Q2,1020000.0,280000.0
22,2013,Q3,760000.0,320000.0
23,2013,Q4,580000.0,320000.0
24,2014,Q1,1160000.0,320000.0
25,2014,Q2,860000.0,320000.0
26,2014,Q3,620000.0,320000.0
27,2014,Q4,650000.0,330000.0
28,2015,Q1,1630000.0,320000.0
29,2015,Q2,830000.0,320000.0
30,2015,Q3,1240000.0,220000.0
31,2015,Q4,640000.0,220000.0
32,2016,Q1,1200000.0,230000.0
33,2016,Q2,810000.0,230000.0
34,2016,Q3,370000.0,170000.0
35,2016,Q4,760000.0,240000.0
36,2017,Q1,740000.0,260000.0
37,2017,Q2,690000.0,260000.0
38,2017,Q3,560000.0,260000.0
39,2017,Q4,820000.0,270000.0
40,2018,Q1,1470000.0,360000.0
41,2018,Q2,790000.0,320000.0
42,2018,Q3,570000.0,320000.0
43,2018,Q4,640000.0,340000.0
44,2019,Q1,1080000.0,330000.0
45,2019,Q2,830000.0,330000.0
46,2019,Q3,720000.0,340000.0
47,2019,Q4,860000.0,330000.0
48,2020,Q1,1190000.0,340000.0
49,2020,Q2,990000.0,330000.0
50,2020,Q3,610000.0,330000.0
51,2020,Q4,900000.0,330000.0
52,2021,Q1,1100000.0,340000.0
53,2021,Q2,660000.0,350000.0
54,2021,Q3,660000.0,400000.0
55,2021,Q4,640000.0,380000.0
56,2022,Q1,1290000.0,400000.0
57,2022,Q2,1030000.0,400000.0
58,2022,Q3,780000.0,430000.0
59,2022,Q4,990000.0,400000.0
60,2023,Q1,1070000.0,480000.0
61,2023,Q2,1270000.0,480000.0
62,2023,Q3,800000.0,390000.0
63,2023,Q4,0.0,140000.0
