,year,period,expenses,income
0,2008,Q1,1391345.0,100000.0
1,2008,Q2,1430000.0,100000.0
2,2008,Q3,1790000.0,100000.0
3,2008,Q4,1710000.0,100000.0
4,2009,Q1,2180000.0,100000.0
5,2009,Q2,1730000.0,130000.0
6,2009,Q3,1880000.0,225000.0
7,2009,Q4,2060000.0,225000.0
8,2010,Q1,1690000.0,225000.0
9,2010,Q2,2870000.0,240000.0
10,2010,Q3,2460000.0,245000.0
11,2010,Q4,2000000.0,230000.0
12,2011,Q1,1820000.0,210000.0
13,2011,Q2,1670000.0,225000.0
14,2011,Q3,2620000.0,225000.0
15,2011,Q4,2270000.0,225000.0
16,2012,Q1,1740000.0,210000.0
17,2012,Q2,2210000.0,210000.0
18,2012,Q3,2340000.0,220000.0
19,2012,Q4,1900000.0,210000.0
20,2013,Q1,1680000.0,220000.0
21,2013,Q2,1724000.0,230000.0
22,2013,Q3,1975400.0,245000.0
23,2013,Q4,2081400.0,240000.0
24,2014,Q1,2008700.0,250000.0
25,2014,Q2,1941500.0,280000.0
26,2014,Q3,1840000.0,300000.0
27,2014,Q4,2220000.0,250000.0
28,2015,Q1,2100000.0,360000.0
29,2015,Q2,1860000.0,360000.0
30,2015,Q3,1820000.0,360000.0
31,2015,Q4,1840000.0,360000.0
32,2016,Q1,1970000.0,390000.0
33,2016,Q2,3170000.0,380000.0
34,2016,Q3,2180000.0,410000.0
35,2016,Q4,1790000.0,380000.0
36,2017,Q1,2570000.0,370000.0
37,2017,Q2,1980000.0,370000.0
38,2017,Q3,2050000.0,290000.0
39,2017,Q4,1790000.0,260000.0
40,2018,Q1,1970000.0,230000.0
41,2018,Q2,1790000.0,230000.0
42,2018,Q3,1140000.0,180000.0
43,2018,Q4,1150000.0,260000.0
44,2019,Q1,1170000.0,260000.0
45,2019,Q2,1200000.0,260000.0
46,2019,Q3,680000.0,260000.0
47,2019,Q4,730000.0,210000.0
48,2020,Q1,790000.0,240000.0
49,2020,Q2,530000.0,240000.0
50,2020,Q3,520000.0,340000.0
51,2020,Q4,580000.0,350000.0
52,2021,Q1,510000.0,350000.0
53,2021,Q2,530000.0,350000.0
54,2021,Q3,535000.0,350000.0
55,2021,Q4,504000.0,340000.0
56,2022,Q1,419547.0,330000.0
57,2022,Q2,402338.0,330000.0
58,2022,Q3,509389.0,330000.0
59,2022,Q4,489513.0,320000.0
60,2023,Q1,575381.0,320000.0
61,2023,Q2,489000.0,320000.0
62,2023,Q3,888000.0,340000.0
63,2023,Q4,619000.0,40000.0
