,year,period,expenses,income
0,2008,Q1,1450000.0,1410000.0
1,2008,Q2,1140000.0,1210000.0
2,2008,Q3,2460000.0,720000.0
3,2008,Q4,1140000.0,750000.0
4,2009,Q1,1620000.0,1030000.0
5,2009,Q2,1460000.0,870000.0
6,2009,Q3,1430000.0,840000.0
7,2009,Q4,1530000.0,870000.0
8,2010,Q1,1980000.0,1260000.0
9,2010,Q2,1510000.0,350000.0
10,2010,Q3,1530000.0,350000.0
11,2010,Q4,1480000.0,280000.0
12,2011,Q1,1930000.0,1110000.0
13,2011,Q2,1950000.0,960000.0
14,2011,Q3,1430000.0,660000.0
15,2011,Q4,1310000.0,480000.0
16,2012,Q1,1330000.0,690000.0
17,2012,Q2,1610000.0,790000.0
18,2012,Q3,1800000.0,740000.0
19,2012,Q4,1660000.0,520000.0
20,2013,Q1,1720000.0,550000.0
21,2013,Q2,1680000.0,810000.0
22,2013,Q3,1600000.0,910000.0
23,2013,Q4,2090000.0,1610000.0
24,2014,Q1,1400000.0,970000.0
25,2014,Q2,1540000.0,1150000.0
26,2014,Q3,1160000.0,830000.0
27,2014,Q4,1510000.0,970000.0
28,2015,Q1,2050000.0,1430000.0
29,2015,Q2,2510000.0,1510000.0
30,2015,Q3,1590000.0,1330000.0
31,2015,Q4,1790000.0,750000.0
32,2016,Q1,1730000.0,850000.0
33,2016,Q2,1290000.0,670000.0
34,2016,Q3,1290000.0,710000.0
35,2016,Q4,1250000.0,830000.0
36,2017,Q1,2080000.0,1463000.0
37,2017,Q2,1790000.0,1220000.0
38,2017,Q3,2170000.0,1280000.0
39,2017,Q4,2220000.0,1320000.0
40,2018,Q1,1890000.0,1700000.0
41,2018,Q2,2000000.0,1440000.0
42,2018,Q3,2110000.0,1330000.0
43,2018,Q4,2010000.0,1330000.0
44,2019,Q1,2350000.0,1980000.0
45,2019,Q2,1940000.0,1560000.0
46,2019,Q3,1810000.0,1410000.0
47,2019,Q4,1780000.0,1420000.0
48,2020,Q1,2400000.0,1640000.0
49,2020,Q2,1970000.0,1660000.0
50,2020,Q3,1710000.0,1510000.0
51,2020,Q4,1860000.0,1330000.0
52,2021,Q1,2450000.0,1950000.0
53,2021,Q2,2130000.0,1770000.0
54,2021,Q3,2010000.0,1870000.0
55,2021,Q4,2490000.0,1950000.0
56,2022,Q1,2510000.0,2120000.0
57,2022,Q2,2450000.0,1790000.0
58,2022,Q3,1970000.0,1510000.0
59,2022,Q4,2370000.0,1960000.0
60,2023,Q1,1680000.0,1390000.0
61,2023,Q2,1770000.0,1570000.0
62,2023,Q3,1560000.0,1400000.0
63,2023,Q4,0.0,410000.0
