,year,period,expenses,income
0,2013,Q1,360000,0
1,2013,Q2,360000,0
2,2013,Q3,410000,0
3,2013,Q4,2153410,0
4,2014,Q1,720000,0
5,2014,Q2,460000,0
6,2014,Q3,410000,0
7,2014,Q4,720000,0
8,2015,Q1,700000,0
9,2015,Q2,260000,0
10,2015,Q3,280000,0
11,2015,Q4,540000,0
12,2016,Q1,440000,0
13,2016,Q2,250000,0
14,2016,Q3,310000,0
15,2016,Q4,310000,0
16,2017,Q1,830000,0
17,2017,Q2,420000,0
18,2017,Q3,380000,0
19,2017,Q4,810000,0
20,2018,Q1,590000,0
21,2018,Q2,540000,0
22,2018,Q3,290000,0
23,2018,Q4,740000,0
24,2019,Q1,530000,0
25,2019,Q2,320000,0
26,2019,Q3,350000,0
27,2019,Q4,750000,0
28,2020,Q1,650000,0
29,2020,Q2,360000,0
30,2020,Q3,390000,0
31,2020,Q4,990000,0
32,2021,Q1,560000,0
33,2021,Q2,310000,0
34,2021,Q3,290000,0
35,2021,Q4,1240000,0
36,2022,Q1,770000,0
37,2022,Q2,430000,0
38,2022,Q3,490000,0
39,2022,Q4,940000,0
40,2023,Q1,640000,0
41,2023,Q2,490000,0
42,2023,Q3,480000,0
