,year,period,expenses,income
0,2008,Q1,7423841.0,1720500.0
1,2008,Q2,5453795.0,1505000.0
2,2008,Q3,5420401.0,1529500.0
3,2008,Q4,5748638.0,1274500.0
4,2009,Q1,7444873.0,880000.0
5,2009,Q2,4886745.0,1220000.0
6,2009,Q3,4887114.0,1072500.0
7,2009,Q4,4950941.0,992500.0
8,2010,Q1,7290381.11,852500.0
9,2010,Q2,4808786.27,937500.0
10,2010,Q3,5159910.8100000005,860000.0
11,2010,Q4,4616000.0,852500.0
12,2011,Q1,8973000.0,812500.0
13,2011,Q2,6873000.0,965000.0
14,2011,Q3,6353000.0,1112500.0
15,2011,Q4,6195000.0,1057500.0
16,2012,Q1,9277000.0,902500.0
17,2012,Q2,5572000.0,922500.0
18,2012,Q3,5489000.0,910000.0
19,2012,Q4,5490000.0,1042500.0
20,2013,Q1,5905000.0,1082500.0
21,2013,Q2,5294000.0,952500.0
22,2013,Q3,5718000.0,1082500.0
23,2013,Q4,5097000.0,892500.0
24,2014,Q1,5195000.0,902500.0
25,2014,Q2,5240000.0,802500.0
26,2014,Q3,4922000.0,792500.0
27,2014,Q4,4574000.0,700000.0
28,2015,Q1,5489000.0,620000.0
29,2015,Q2,5488000.0,770000.0
30,2015,Q3,3599000.0,590000.0
31,2015,Q4,4225000.0,670000.0
32,2016,Q1,5217000.0,640000.0
33,2016,Q2,4801000.0,680000.0
34,2016,Q3,4829000.0,660000.0
35,2016,Q4,4466000.0,670000.0
36,2017,Q1,5316000.0,610000.0
37,2017,Q2,4938000.0,640000.0
38,2017,Q3,5111000.0,670000.0
39,2017,Q4,4352000.0,620000.0
40,2018,Q1,4830000.0,640000.0
41,2018,Q2,5329000.0,610000.0
42,2018,Q3,4485000.0,570000.0
43,2018,Q4,3860000.0,470000.0
44,2019,Q1,2960000.0,450000.0
45,2019,Q2,4120000.0,500000.0
46,2019,Q3,3240000.0,430000.0
47,2019,Q4,2440000.0,480000.0
48,2020,Q1,2750000.0,450000.0
49,2020,Q2,3460000.0,410000.0
50,2020,Q3,2530000.0,390000.0
51,2020,Q4,2630000.0,400000.0
52,2021,Q1,2610000.0,440000.0
53,2021,Q2,3090000.0,470000.0
54,2021,Q3,2760000.0,470000.0
55,2021,Q4,2940000.0,440000.0
56,2022,Q1,3060000.0,320000.0
57,2022,Q2,5700000.0,370000.0
58,2022,Q3,2890000.0,400000.0
59,2022,Q4,2610000.0,470000.0
60,2023,Q1,2740000.0,435000.0
61,2023,Q2,2780000.0,455000.0
62,2023,Q3,2700000.0,445000.0
63,2023,Q4,0.0,185000.0
